Bhavnagar Steel Price History,,,
Daily calendar from 01-Jan-2022 to 10-Aug-2026; blank cells indicate no reported observation. The source begins publishing Bhavnagar observations on 02-Jan-2023.,,,
Sources: TMT — https://datastudio.google.com/reporting/c3bb43c8-a229-44ac-bb52-d669aa6c320f/page/9p9yF | Ingot & Billet — https://datastudio.google.com/reporting/15555fa5-1298-460c-b06f-5b58f9270001/page/9p9yF,,,
,,,
Date,TMT (₹/MT),Ingot (₹/MT),Billet (₹/MT)
44562,,,
44563,,,
44564,,,
44565,,,
44566,,,
44567,,,
44568,,,
44569,,,
44570,,,
44571,,,
44572,,,
44573,,,
44574,,,
44575,,,
44576,,,
44577,,,
44578,,,
44579,,,
44580,,,
44581,,,
44582,,,
44583,,,
44584,,,
44585,,,
44586,,,
44587,,,
44588,,,
44589,,,
44590,,,
44591,,,
44592,,,
44593,,,
44594,,,
44595,,,
44596,,,
44597,,,
44598,,,
44599,,,
44600,,,
44601,,,
44602,,,
44603,,,
44604,,,
44605,,,
44606,,,
44607,,,
44608,,,
44609,,,
44610,,,
44611,,,
44612,,,
44613,,,
44614,,,
44615,,,
44616,,,
44617,,,
44618,,,
44619,,,
44620,,,
44621,,,
44622,,,
44623,,,
44624,,,
44625,,,
44626,,,
44627,,,
44628,,,
44629,,,
44630,,,
44631,,,
44632,,,
44633,,,
44634,,,
44635,,,
44636,,,
44637,,,
44638,,,
44639,,,
44640,,,
44641,,,
44642,,,
44643,,,
44644,,,
44645,,,
44646,,,
44647,,,
44648,,,
44649,,,
44650,,,
44651,,,
44652,,,
44653,,,
44654,,,
44655,,,
44656,,,
44657,,,
44658,,,
44659,,,
44660,,,
44661,,,
44662,,,
44663,,,
44664,,,
44665,,,
44666,,,
44667,,,
44668,,,
44669,,,
44670,,,
44671,,,
44672,,,
44673,,,
44674,,,
44675,,,
44676,,,
44677,,,
44678,,,
44679,,,
44680,,,
44681,,,
44682,,,
44683,,,
44684,,,
44685,,,
44686,,,
44687,,,
44688,,,
44689,,,
44690,,,
44691,,,
44692,,,
44693,,,
44694,,,
44695,,,
44696,,,
44697,,,
44698,,,
44699,,,
44700,,,
44701,,,
44702,,,
44703,,,
44704,,,
44705,,,
44706,,,
44707,,,
44708,,,
44709,,,
44710,,,
44711,,,
44712,,,
44713,,,
44714,,,
44715,,,
44716,,,
44717,,,
44718,,,
44719,,,
44720,,,
44721,,,
44722,,,
44723,,,
44724,,,
44725,,,
44726,,,
44727,,,
44728,,,
44729,,,
44730,,,
44731,,,
44732,,,
44733,,,
44734,,,
44735,,,
44736,,,
44737,,,
44738,,,
44739,,,
44740,,,
44741,,,
44742,,,
44743,,,
44744,,,
44745,,,
44746,,,
44747,,,
44748,,,
44749,,,
44750,,,
44751,,,
44752,,,
44753,,,
44754,,,
44755,,,
44756,,,
44757,,,
44758,,,
44759,,,
44760,,,
44761,,,
44762,,,
44763,,,
44764,,,
44765,,,
44766,,,
44767,,,
44768,,,
44769,,,
