China HRC FOB - Weekly Futures Price ($/t),
"STATUS: populated (weekly resolution) - source: Investing.com / LME-linked Argus assessment, Jan 2023 - Oct 2025",
Gap: no data after Oct 2025 yet. LME Steel HRC FOB China (Argus) is the underlying - check LME.com free registration for continuation.,
,
Date,Price ($/t)
2023-01-08,625
2023-01-15,625
2023-01-22,623
2023-01-29,643
2023-02-05,643
2023-02-12,644
2023-02-19,636.5
2023-02-26,665
2023-03-05,670
2023-03-12,660
2023-03-19,649
2023-03-26,650.74
2023-04-02,626
2023-04-09,624.5
2023-04-16,618
2023-04-23,617.11
2023-04-30,568
2023-05-07,575
2023-05-14,572
2023-05-21,574.5
2023-05-28,544
2023-06-04,540
2023-06-11,557.5
2023-06-18,542
2023-06-25,544
2023-07-02,543
2023-07-09,548
2023-07-16,548.5
2023-07-23,549.5
2023-07-30,561
2023-08-06,554.5
2023-08-13,550.5
2023-08-20,553
2023-08-27,554.5
2023-09-03,544
2023-09-10,543.5
2023-09-17,540.5
2023-09-24,547.5
2023-10-01,549.5
2023-10-08,526
2023-10-15,527.5
2023-10-22,534.5
2023-10-29,547
2023-11-05,550
2023-11-12,547
2023-11-19,550
2023-11-26,566
2023-12-03,575
2023-12-10,565
2023-12-17,561
2023-12-24,576
2023-12-31,582
2024-01-07,568.5
2024-01-14,569.5
2024-01-21,569.5
2024-01-28,564
2024-02-04,566.5
2024-02-11,571
2024-02-18,565.5
2024-02-25,550
2024-03-03,547.5
2024-03-10,538
2024-03-17,537
2024-03-24,532
2024-03-31,522
2024-04-07,525
2024-04-14,520
2024-04-21,533.5
2024-04-28,545
2024-05-05,532
2024-05-12,531
2024-05-19,537
2024-05-26,533.5
2024-06-02,527.5
2024-06-09,517
2024-06-16,513
2024-06-23,521.5
2024-06-30,527
2024-07-07,509
2024-07-14,504.5
2024-07-21,503.5
2024-07-28,490
2024-08-04,482
2024-08-11,465
2024-08-18,466
2024-08-25,473.5
2024-09-01,455
2024-09-08,452
2024-09-15,454
2024-09-22,453.5
2024-09-29,523
2024-10-06,511
2024-10-13,500
2024-10-20,501
2024-10-27,500
2024-11-03,494
2024-11-10,485.5
2024-11-17,488
2024-11-24,488.5
2024-12-01,485
2024-12-08,482.5
2024-12-15,476
2024-12-22,473
2024-12-29,464
2025-01-05,456
2025-01-12,470.5
2025-01-19,466.5
2025-01-26,481
2025-02-02,464.5
2025-02-09,461
2025-02-16,467.5
2025-02-23,466.5
2025-03-02,467.5
2025-03-09,471.5
2025-03-16,462
2025-03-23,459.5
2025-03-30,465
2025-04-06,467
2025-04-13,463.5
2025-04-20,460
2025-04-27,455
2025-05-04,452
2025-05-11,456.5
2025-05-18,453
2025-05-25,446.5
2025-06-01,446
2025-06-08,442
2025-06-15,445
2025-06-22,444
2025-06-29,446
2025-07-06,448.5
2025-07-13,449
2025-07-20,460
2025-07-27,468.5
2025-08-03,475
2025-08-10,473
2025-08-17,473.5
2025-08-24,473
2025-08-31,471
2025-09-07,472.5
2025-09-14,475.5
2025-09-21,473.5
2025-09-28,471
2025-10-05,470.5
2025-10-12,462
2025-10-19,460
2025-10-26,461.5
,
"GAP-FILL: Nov 2025 - Aug 2026, read from same real TradingView chart (HC1! continuous, monthly), same download-trigger technique",
2025-11,450
2025-12,448
2026-01,455
2026-02,465
2026-03,480
2026-04,495
2026-05,500
2026-06,485
2026-07,477
2026-08,477
