Supply-side and substitute-good indicators,,,,
"Spot data points gathered via search, not continuous feeds. Refresh periodically the same way, not a one-time pull.",,,,
,,,,
SHIP ARRIVALS AT ALANG (supply quantity),,,,
Period,Ships,LDT,Source,Note
FY2011-12 (peak),415,,Wikipedia / historical,All-time peak year
CY2023,137,"1,020,000",BigMint via SEAISI,
CY2024,101,"680,000",BigMint via SEAISI,Lowest since 2008 financial crisis
FY2024-25 (full year),113,,Marine Insight / Gujarat govt,Lowest in 20+ years
Apr-Aug 2024 (5mo),39,"~400,000",Marine Insight,Prior-year comparison base
Apr-Aug 2025 (5mo),44,"~400,000",Marine Insight / Gujarat govt,+13% y-o-y; July 2025 peak month at 12 arrivals
,,,,
BALTIC DRY INDEX (freight rates - upstream driver of ship supply),,,,
Date,BDI level,Source,Note,
2025-11-20,2270,TradingEconomics,Highest since March 2024,
2025-11-28,2560,TradingEconomics,"12th consecutive day of gains, Nov +30% m/m",
2026-04-01,1995,TradingEconomics,Near 3-week low,
,,,"Mechanism: high freight rates -> owners keep trading rather than scrap -> fewer ship arrivals -> tighter Alang scrap supply (stated by GMS Business Development Head, Sep 2025)",
,,,,
"JPC / CEIC DOMESTIC SUBSTITUTE PRICES (billet, pig iron, sponge iron)",,,,
Date,Item,Location,Price (Rs/t),Source
2025-12,Sponge iron (coal-based),Mumbai,32720,JPC via CEIC
2026-01,Sponge iron (coal-based),Mumbai,32840,JPC via CEIC
2025-03,Pig iron LM Gr. IV,Kolkata,42620,JPC via CEIC
2025-04,Pig iron LM Gr. IV,Kolkata,42730,JPC via CEIC
2026-05,Pig iron LM Gr. IV,Delhi,50150,JPC via CEIC
2026-06,Pig iron LM Gr. IV,Delhi,50510,JPC via CEIC
,,,,JPC publishes free fortnightly (1st/15th) bulletins at jpcsteel.co.in - these values via CEIC search teasers. Direct free source: jpcsteel.co.in market price reports.
,,,,
NHAVA SHEVA IMPORT-PARITY HMS (competing supply for coastal mills),,,,
Date,Price ($/t),"Price (Rs/t, incl freight)",Source,
2025-02-20,350-355,33039,BigMint via search,
2025-11-10,322,30757,BigMint via search,
,,,,
CONFIRMED FREE SOURCE: JPC Monthly Bulletin,,,,
jpcsteel.co.in publishes free monthly bulletin PDFs (not gated) with a dedicated Statistics section (approx page 55+).,,,,
"Pattern: https://www.jpcsteel.co.in/media/reports/[REPORT_NAME].pdf - new link each month, found via jpcsteel.co.in homepage ""JPC Reports"" section.",,,,
,,,,
"LME STEEL SCRAP CFR INDIA (Platts) - direct India import benchmark, confirmed live",,,,
Date,Price ($/t),Source,Note,
2026-08-05/06,371,"LME.com (live, free to view)","Month-2 Closing Price, day-delayed. Historical prices/monthly averages need login - try free LME.com registration.",
,,,,
"BALTIC DRY INDEX - FULL MONTHLY SERIES (BDI, TradingView, download-trigger technique) - cross-validated against earlier exact spot points",,,,
Month,BDI level (approx),Note,,
2023-12,2050,,,
2024-01,2050,,,
2024-02,2100,High wick spike visible,,
2024-03,2100,,,
2024-04,2200,,,
2024-05,1950,,,
2024-06,1950,,,
2024-07,1750,,,
2024-08,1750,,,
2024-09,1350,,,
2024-10,1200,,,
2024-11,1250,,,
2024-12,1000,,,
2025-01,850,Low point,,
2025-02,1150,,,
2025-03,1350,,,
2025-04,1550,,,
2025-05,1650,,,
2025-06,1850,,,
2025-07,2000,,,
2025-08,1950,,,
2025-09,2050,,,
2025-10,2100,,,
2025-11,2270,"Matches exact spot value (2270, 20 Nov 2025)",,
2025-12,2450,,,
2026-01,2050,,,
2026-02,1950,,,
2026-03,2000,,,
2026-04,1995,"Matches exact spot value (1995, 1 Apr 2026)",,
2026-05,2450,,,
2026-06,2650,,,
2026-07,2850,,,
2026-08,3063,"Current, matches live quote",,
,,,,
"IRON ORE CFR CHINA (Platts) - TIO1! continuous, TradingView, primary-route substitute for scrap - when iron ore is cheap, BF-BOF undercuts scrap-based EAF/IF",,,,
Month,Price ($/t),Note,,
2023-12,130,Approx mandi-master start,,
2024-01,118,,,
2024-02,120,,,
2024-03,108,,,
2024-06,105,,,
2024-09,100,,,
2024-12,95,Low,,
2025-03,100,,,
2025-06,105,,,
2025-09,105,,,
2025-12,95,,,
2026-08,94,"Current, live",,
,,,,
"RBI REPO RATE - official MPC decision history (jpcsteel/RBI-linked press coverage), free, monthly-ish (per meeting)",,,,
Date,Repo Rate (%),Note,,
2023-02 to 2024-12,6.5,Held for ~24 months across all MPC meetings,,
2025-02-07,6.25,First cut after 25-month hold,,
2025-04 (approx),6,,,
2025-06-06,5.5,Confirmed effective date,,
2025-12 (approx),5.25,Cumulative 125bps cut since Feb 2025,,
2026-02 to 2026-09,5.25,"Held at every meeting: Feb, Apr 8, Jun 3-5, Aug 5 2026",,
,,,,
"COKING COAL - SGX TSI FOB Australia Premium (ACF1!), TradingView - primary-route input cost, same mechanism as iron ore",,,,
Month,Price ($/t),Note,,
2023-12,330,Approx mandi-master start,,
2024-03,300,,,
2024-06,275,,,
2024-09,250,,,
2024-12,230,,,
2025-06,225,Trough,,
2025-09,230,,,
2025-12,250,Rally begins,,
2026-03,255,Peak of rally,,
2026-06,230,,,
2026-08,215,"Current, live",,
