USD/INR — Monthly Average,,
"STATUS: populated (monthly resolution) — source: exchangerates.org.uk, Dec 2023 to Jul 2026 (partial)",,
Note: monthly avg chosen over daily — matches twice-weekly data cadence and macro variables move slowly vs mandi noise. Ask Claude for daily resolution if the model later needs it.,,
,,
Month,USD/INR Avg,Note
2023-12,83.2491,
2024-01,83.111,
2024-02,82.9704,
2024-03,83.0653,
2024-04,83.4221,
2024-05,83.3599,
2024-06,83.485,
2024-07,83.601,
2024-08,83.8829,
2024-09,83.8002,
2024-10,84.0463,
2024-11,84.3656,
2024-12,85.0038,
2025-01,86.2487,
2025-02,87.0042,
2025-03,86.5501,
2025-04,85.5768,
2025-05,85.2348,
2025-06,85.952,
2025-07,86.1548,
2025-08,87.5488,
2025-09,88.2945,
2025-10,88.366,
2025-11,88.9023,
2025-12,90.0161,
2026-01,90.7981,
2026-02,90.7455,
2026-03,92.9737,
2026-04,93.3975,
2026-05,95.436,
2026-06,94.9904,
2026-07,95.4172,partial month (1-4 Jul)
