"acquired_at_utc","source_url","period_month","source_month_label","ldt_beached_metric_tonnes","ships_beached_count","observation_status"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-01","Jan-2016","222850","15","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-02","Feb-2016","478773","50","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-03","Mar-2016","355363","33","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-04","Apr-2016","314390","30","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-05","May-2016","185344","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-06","Jun-2016","198051","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-07","Jul-2016","137354","15","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-08","Aug-2016","228794","21","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-09","Sep-2016","263068","21","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-10","Oct-2016","278046","26","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-11","Nov-2016","169230","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2016-12","Dec-2016","313766","25","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-01","Jan-2017","308424","29","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-02","Feb-2017","162336","15","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-03","Mar-2017","344447","41","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-04","Apr-2017","294361","31","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-05","May-2017","111099","15","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-06","Jun-2017","205825","20","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-07","Jul-2017","152576","14","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-08","Aug-2017","94637","8","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-09","Sep-2017","259400","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-10","Oct-2017","275531","21","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-11","Nov-2017","85391","15","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2017-12","Dec-2017","236257","23","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-01","Jan-2018","310194","32","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-02","Feb-2018","132669","20","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-03","Mar-2018","9544","1","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-04","Apr-2018","124858","19","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-05","May-2018","137370","31","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-06","Jun-2018","256833","32","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-07","Jul-2018","106805","9","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-08","Aug-2018","112982","11","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-09","Sep-2018","160082","13","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-10","Oct-2018","137364","19","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-11","Nov-2018","239779","21","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2018-12","Dec-2018","112779","11","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-01","Jan-2019","89032","22","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-02","Feb-2019","101676","8","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-03","Mar-2019","114424","13","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-04","Apr-2019","136552","20","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-05","May-2019","174204","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-06","Jun-2019","120368","17","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-07","Jul-2019","192562","18","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-08","Aug-2019","141320","14","complete"
"2026-08-12T10:03:35Z","https://www.alangtoday.com/alang-analysis.aspx","2019-09","Sep-2019","46494","8","complete"
