Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-09-25,361,361,361,361,-1.,-0.28%,12,48
2025-09-26,361,361,361,361,0,0.00%,0,48
2025-09-29,361,361,361,361,0,0.00%,0,48
2025-09-30,361,361,361,361,0,0.00%,0,48
2025-10-01,361,361,361,361,0,0.00%,0,48
2025-10-02,361,361,361,361,0,0.00%,0,21
2025-10-03,361,361,361,361,0,0.00%,0,21
2025-10-06,364,364,364,364,3,+0.83%,3,21
2025-10-07,364,364,364,364,0,0.00%,0,21
2025-10-08,364,364,364,364,0,0.00%,0,21
2025-10-09,364,364,364,364,0,0.00%,0,21
2025-10-10,363,363,363,363,-1.,-0.27%,0,21
2025-10-13,358,358,358,358,-5.,-1.38%,0,21
2025-10-14,358,358,358,358,0,0.00%,0,21
2025-10-15,358,358,358,358,0,0.00%,0,21
2025-10-16,358,358,358,358,0,0.00%,0,21
2025-10-17,358,358,358,358,0,0.00%,0,21
2025-10-20,358,358,358,358,0,0.00%,0,21
2025-10-21,358,358,358,358,0,0.00%,0,21
2025-10-22,358,358,358,358,0,0.00%,0,21
2025-10-23,358,358,358,358,0,0.00%,0,21
2025-10-24,358,358,358,358,0,0.00%,0,21
2025-10-27,358,358,358,358,0,0.00%,0,21
2025-10-28,358,358,358,358,0,0.00%,0,21
2025-10-29,358,358,358,358,0,0.00%,0,21
2025-10-30,358,358,358,358,0,0.00%,0,21
2025-10-31,358,358,358,358,0,0.00%,0,12
2025-11-03,358,358,358,358,0,0.00%,0,12
2025-11-04,358,358,358,358,0,0.00%,0,12
2025-11-05,358,358,358,358,0,0.00%,0,12
2025-11-06,360,360,360,360,2,+0.56%,3,15
2025-11-07,360,360,360,360,0,0.00%,0,15
2025-11-10,360,360,360,360,0,0.00%,0,15
2025-11-11,360,360,360,360,0,0.00%,0,15
2025-11-12,360,360,360,360,0,0.00%,0,15
2025-11-13,363,363,363,363,3,+0.83%,4,19
2025-11-14,363,363,363,363,0,0.00%,0,19
2025-11-17,363,363,363,363,0,0.00%,0,19
2025-11-18,363,363,363,363,0,0.00%,0,19
2025-11-19,363,363,363,363,0,0.00%,0,19
2025-11-20,363,363,363,363,0,0.00%,0,19
2025-11-21,363,363,363,363,0,0.00%,0,19
2025-11-24,363,363,363,363,0,0.00%,11,30
2025-11-25,363,363,363,363,0,0.00%,0,30
2025-11-26,363,363,363,363,0,0.00%,0,30
2025-11-28,363,363,363,363,0,0.00%,0,27
2025-12-01,363,363,363,363,0,0.00%,0,27
2025-12-02,363,363,363,363,0,0.00%,0,27
2025-12-03,363,363,363,363,0,0.00%,0,27
2025-12-04,363,363,363,363,0,0.00%,0,27
2025-12-05,363,363,363,363,0,0.00%,0,27
2025-12-08,363,363,363,363,0,0.00%,0,27
2025-12-09,363,363,363,363,0,0.00%,0,27
2025-12-10,363,363,363,363,0,0.00%,0,27
2025-12-11,363,363,363,363,0,0.00%,0,27
2025-12-12,363,363,363,363,0,0.00%,0,27
2025-12-15,363,363,363,363,0,0.00%,24,42
2025-12-16,363,363,363,363,0,0.00%,0,42
2025-12-17,363,363,363,363,0,0.00%,0,42
2025-12-18,363,363,363,363,0,0.00%,0,9
2025-12-19,363,363,363,363,0,0.00%,0,45
2025-12-22,363,363,363,363,0,0.00%,0,45
2025-12-23,363,363,363,363,0,0.00%,0,45
2025-12-24,363,363,363,363,0,0.00%,0,45
2025-12-26,363,363,363,363,0,0.00%,0,45
2025-12-29,363,363,363,363,0,0.00%,0,45
2025-12-30,363,363,363,363,0,0.00%,0,45
2025-12-31,363,363,363,363,0,0.00%,0,30
2026-01-02,363,363,363,363,0,0.00%,0,30
2026-01-05,363,363,363,363,0,0.00%,18,30
2026-01-06,364,364,364,364,1,+0.28%,0,30
2026-01-07,368,368,368,368,4,+1.10%,3,33
2026-01-08,368,368,368,368,0,0.00%,12,45
2026-01-09,369,369,369,369,1,+0.27%,0,45
2026-01-12,373,373,373,373,4,+1.08%,0,45
2026-01-13,373,373,373,373,0,0.00%,0,45
2026-01-14,373,373,373,373,0,0.00%,0,45
2026-01-15,373,373,373,373,0,0.00%,0,45
2026-01-16,373,373,373,373,0,0.00%,0,45
2026-01-20,373,373,373,373,0,0.00%,0,45
2026-01-21,373,373,373,373,0,0.00%,2,45
2026-01-22,373,373,373,373,0,0.00%,0,45
2026-01-23,374,374,374,374,1,+0.27%,3,42
2026-01-26,374,374,374,374,0,0.00%,0,42
2026-01-27,374,374,374,374,0,0.00%,3,45
2026-01-28,374,374,374,374,0,0.00%,0,45
2026-01-29,374,374,374,374,0,0.00%,0,45
2026-01-30,374,374,374,374,0,0.00%,0,33
"Downloaded from Barchart.com as of 08-12-2026 05:46am CDT"
