Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,415,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,415,415,-5.,-1.19%,0,0
2023-02-03,425,425,425,425,10,+2.41%,0,11
2023-02-06,425,425,425,425,0,0.00%,0,11
2023-02-07,425,425,425,425,0,0.00%,0,11
2023-02-08,425,425,425,425,0,0.00%,0,11
2023-02-09,425,425,425,425,0,0.00%,0,0
2023-02-10,425,430,425,425,0,0.00%,6,13
2023-02-13,420,420,420,420,-5.,-1.18%,0,13
2023-02-14,420,420,420,420,0,0.00%,0,13
2023-02-15,420,426,420,426,6,+1.43%,0,13
2023-02-16,425,425,425,425,-1.,-0.23%,0,0
2023-02-17,425,425,425,425,0,0.00%,0,13
2023-02-21,427,427,427,427,2,+0.47%,8,15
2023-02-22,427,427,427,427,0,0.00%,0,17
2023-02-23,428,428,428,428,1,+0.23%,0,0
2023-02-24,427,427,427,427,-1.,-0.23%,0,18
2023-02-27,428,428,428,428,1,+0.23%,0,18
2023-02-28,430,430,430,430,2,+0.47%,0,18
2023-03-01,430.88,430.88,430.88,430.88,0.88,+0.20%,0,17
"Downloaded from Barchart.com as of 08-12-2026 05:39am CDT"
