Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,420,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,420,420,0,0.00%,0,0
2023-02-03,430,430,430,430,10,+2.38%,0,11
2023-02-06,430,430,430,430,0,0.00%,0,11
2023-02-07,430,430,425,430,0,0.00%,0,11
2023-02-08,430,430,430,430,0,0.00%,0,11
2023-02-09,430,430,430,430,0,0.00%,0,0
2023-02-10,430,430,430,430,0,0.00%,6,13
2023-02-13,430,430,430,430,0,0.00%,0,13
2023-02-14,430,430,430,430,0,0.00%,0,13
2023-02-15,430,430,430,430,0,0.00%,0,13
2023-02-16,430,430,430,430,0,0.00%,0,0
2023-02-17,430,430,430,430,0,0.00%,0,13
2023-02-21,455,460,455,455,25,+5.81%,8,15
2023-02-22,455,455,455,455,0,0.00%,0,17
2023-02-23,470,470,470,470,15,+3.30%,0,0
2023-02-24,470,470,470,470,0,0.00%,0,18
2023-02-27,470,470,470,470,0,0.00%,0,18
2023-02-28,470,470,470,470,0,0.00%,0,18
2023-03-01,470,470,468,470,0,0.00%,0,17
2023-03-02,464,464,464,464,-6.,-1.28%,0,0
2023-03-03,459,459,459,459,-5.,-1.08%,0,17
2023-03-06,459,459,459,459,0,0.00%,0,17
2023-03-07,459,459,459,459,0,0.00%,0,17
2023-03-08,458,459,458,459,0,0.00%,0,17
2023-03-09,459,459,459,459,0,0.00%,0,0
2023-03-10,458,458,458,458,-1.,-0.22%,0,17
2023-03-13,458,458,458,458,0,0.00%,0,17
2023-03-14,458,458,458,458,0,0.00%,0,17
2023-03-15,458,458,458,458,0,0.00%,0,17
2023-03-16,450,450,450,450,-8.,-1.75%,0,0
2023-03-17,454,454,454,454,4,+0.89%,0,17
2023-03-20,454,454,454,454,0,0.00%,0,17
2023-03-21,455,455,455,455,1,+0.22%,0,17
2023-03-22,455,455,455,455,0,0.00%,0,17
2023-03-23,455,455,455,455,0,0.00%,0,0
2023-03-24,456,456,456,456,1,+0.22%,0,17
2023-03-27,456,456,456,456,0,0.00%,0,17
2023-03-28,456,456,456,456,0,0.00%,0,17
2023-03-29,455,455,455,455,-1.,-0.22%,0,17
2023-03-30,454,454,454,454,-1.,-0.22%,0,0
2023-03-31,454,454,454,454,0,0.00%,0,16
"Downloaded from Barchart.com as of 08-12-2026 05:39am CDT"
