Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2023-01-12,409,409,409,409,0,0.00%,0,0
2023-01-13,409,411,409,411,2,+0.49%,0,12
2023-01-17,410,410,410,410,-1.,-0.24%,0,12
2023-01-18,411,411,411,411,1,+0.24%,0,12
2023-01-19,411,411,411,411,0,0.00%,0,12
2023-01-20,410,410,410,410,-1.,-0.24%,0,12
2023-01-23,410,410,410,410,0,0.00%,0,12
2023-01-24,410,410,410,410,0,0.00%,0,12
2023-01-25,410,410,410,410,0,0.00%,0,12
2023-01-26,410,410,410,410,0,0.00%,0,0
2023-01-27,410,420,410,410,0,0.00%,0,12
2023-01-30,420,420,420,420,10,+2.44%,0,12
2023-01-31,420,420,420,420,0,0.00%,0,12
2023-02-01,420,420,420,420,0,0.00%,0,11
2023-02-02,420,420,420,420,0,0.00%,0,0
2023-02-03,430,430,430,430,10,+2.38%,0,11
2023-02-06,430,430,430,430,0,0.00%,0,11
2023-02-07,430,430,425,430,0,0.00%,0,11
2023-02-08,430,430,430,430,0,0.00%,0,11
2023-02-09,430,430,430,430,0,0.00%,0,0
2023-02-10,430,430,430,430,0,0.00%,6,13
2023-02-13,430,430,430,430,0,0.00%,0,13
2023-02-14,430,430,430,430,0,0.00%,0,13
2023-02-15,430,430,430,430,0,0.00%,0,13
2023-02-16,430,430,430,430,0,0.00%,0,0
2023-02-17,430,430,430,430,0,0.00%,0,13
2023-02-21,455,460,455,455,25,+5.81%,8,15
2023-02-22,460,460,460,460,5,+1.10%,0,17
2023-02-23,485,485,485,485,25,+5.43%,0,0
2023-02-24,480,480,480,480,-5.,-1.03%,0,18
2023-02-27,480,480,480,480,0,0.00%,0,18
2023-02-28,475,475,475,475,-5.,-1.04%,0,18
2023-03-01,475,475,465,475,0,0.00%,0,17
2023-03-02,465,465,465,465,-10.,-2.11%,0,0
2023-03-03,465,465,465,465,0,0.00%,0,17
2023-03-06,465,465,465,465,0,0.00%,0,17
2023-03-07,465,465,465,465,0,0.00%,0,17
2023-03-08,465,465,465,465,0,0.00%,0,17
2023-03-09,465,465,465,465,0,0.00%,0,0
2023-03-10,458,458,458,458,-7.,-1.51%,0,17
2023-03-13,458,458,458,458,0,0.00%,0,17
2023-03-14,458,458,458,458,0,0.00%,0,17
2023-03-15,458,458,458,458,0,0.00%,0,17
2023-03-16,445,445,445,445,-13.,-2.84%,0,0
2023-03-17,445,445,445,445,0,0.00%,0,17
2023-03-20,445,445,445,445,0,0.00%,0,17
2023-03-21,445,445,445,445,0,0.00%,0,17
2023-03-22,440,440,435,440,-5.,-1.12%,0,17
2023-03-23,440,440,440,440,0,0.00%,0,0
2023-03-24,440,440,440,440,0,0.00%,0,17
2023-03-27,440,440,440,440,0,0.00%,0,17
2023-03-28,440,440,440,440,0,0.00%,0,17
2023-03-29,440,440,440,440,0,0.00%,0,17
2023-03-30,440,440,440,440,0,0.00%,0,0
2023-03-31,440,440,440,440,0,0.00%,0,16
2023-04-03,440,440,440,440,0,0.00%,0,16
2023-04-04,440,440,440,440,0,0.00%,0,16
2023-04-05,440,440,440,440,0,0.00%,6,22
2023-04-06,435,435,435,435,-5.,-1.14%,0,2
2023-04-10,435,435,435,435,0,0.00%,0,22
2023-04-11,436,436,436,436,1,+0.23%,0,22
2023-04-12,436,436,435,436,0,0.00%,0,22
2023-04-13,435,435,428,435,-1.,-0.23%,0,0
2023-04-14,436,436,436,436,1,+0.23%,0,22
2023-04-17,436,436,436,436,0,0.00%,0,22
2023-04-18,433,433,428,433,-3.,-0.69%,18,24
2023-04-19,433,433,433,433,0,0.00%,0,25
2023-04-20,426,426,426,426,-7.,-1.62%,0,0
2023-04-21,431,431,431,431,5,+1.17%,0,0
2023-04-24,431,431,431,431,0,0.00%,0,25
2023-04-25,430,430,430,430,-1.,-0.23%,0,25
2023-04-26,428,428,428,428,-2.,-0.47%,0,25
2023-04-27,427,427,427,427,-1.,-0.23%,0,0
2023-04-28,426,426,426,426,-1.,-0.23%,0,22
"Downloaded from Barchart.com as of 08-12-2026 05:39am CDT"
