Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2025-10-06,371,371,371,371,9,+2.49%,3,21
2025-10-07,371,371,371,371,0,0.00%,0,21
2025-10-08,371,371,371,371,0,0.00%,0,21
2025-10-09,371,371,371,371,0,0.00%,0,21
2025-10-10,370,370,370,370,-1.,-0.27%,0,21
2025-10-13,373,373,373,373,3,+0.81%,0,21
2025-10-14,373,373,373,373,0,0.00%,0,21
2025-10-15,373,373,373,373,0,0.00%,0,21
2025-10-16,373,373,373,373,0,0.00%,0,21
2025-10-17,373,373,373,373,0,0.00%,0,21
2025-10-20,373,373,373,373,0,0.00%,0,21
2025-10-21,373,373,373,373,0,0.00%,0,21
2025-10-22,373,373,373,373,0,0.00%,0,21
2025-10-23,373,373,373,373,0,0.00%,0,21
2025-10-24,373,373,373,373,0,0.00%,0,21
2025-10-27,373,373,373,373,0,0.00%,0,21
2025-10-28,373,373,373,373,0,0.00%,0,21
2025-10-29,373,373,373,373,0,0.00%,0,21
2025-10-30,373,373,373,373,0,0.00%,0,21
2025-10-31,373,373,373,373,0,0.00%,0,12
2025-11-03,373,373,373,373,0,0.00%,0,12
2025-11-04,373,373,373,373,0,0.00%,0,12
2025-11-05,373,373,373,373,0,0.00%,0,12
2025-11-06,375,375,375,375,2,+0.54%,3,15
2025-11-07,375,375,375,375,0,0.00%,0,15
2025-11-10,375,375,375,375,0,0.00%,0,15
2025-11-11,375,375,375,375,0,0.00%,0,15
2025-11-12,375,375,375,375,0,0.00%,0,15
2025-11-13,375,375,375,375,0,0.00%,4,19
2025-11-14,375,375,375,375,0,0.00%,0,19
2025-11-17,375,375,375,375,0,0.00%,0,19
2025-11-18,375,375,375,375,0,0.00%,0,19
2025-11-19,375,375,375,375,0,0.00%,0,19
2025-11-20,375,375,375,375,0,0.00%,0,19
2025-11-21,375,375,375,375,0,0.00%,0,19
2025-11-24,375,375,375,375,0,0.00%,11,30
2025-11-25,375,375,375,375,0,0.00%,0,30
2025-11-26,375,375,375,375,0,0.00%,0,30
2025-11-28,375,375,375,375,0,0.00%,0,27
2025-12-01,375,375,375,375,0,0.00%,0,27
2025-12-02,375,375,375,375,0,0.00%,0,27
2025-12-03,375,375,375,375,0,0.00%,0,27
2025-12-04,375,375,375,375,0,0.00%,0,27
2025-12-05,375,375,375,375,0,0.00%,0,27
2025-12-08,375,375,375,375,0,0.00%,0,27
2025-12-09,375,375,375,375,0,0.00%,0,27
2025-12-10,375,375,375,375,0,0.00%,0,27
2025-12-11,375,375,375,375,0,0.00%,0,27
2025-12-12,375,375,375,375,0,0.00%,0,27
2025-12-15,370,370,370,370,-5.,-1.33%,24,42
2025-12-16,370,370,370,370,0,0.00%,0,42
2025-12-17,370,370,370,370,0,0.00%,0,42
2025-12-18,365,370,365,370,0,0.00%,0,9
2025-12-19,370,370,370,370,0,0.00%,0,45
2025-12-22,370,370,370,370,0,0.00%,0,45
2025-12-23,370,370,370,370,0,0.00%,0,45
2025-12-24,370,370,370,370,0,0.00%,0,45
2025-12-26,370,370,370,370,0,0.00%,0,45
2025-12-29,370,370,370,370,0,0.00%,0,45
2025-12-30,370,370,370,370,0,0.00%,0,45
2025-12-31,370,370,370,370,0,0.00%,0,30
2026-01-02,370,370,370,370,0,0.00%,0,30
2026-01-05,371,371,371,371,1,+0.27%,18,30
2026-01-06,371,371,371,371,0,0.00%,0,30
2026-01-07,372,372,372,372,1,+0.27%,3,33
2026-01-08,375,375,375,375,3,+0.81%,12,45
2026-01-09,375,375,375,375,0,0.00%,0,45
2026-01-12,375,375,375,375,0,0.00%,0,45
2026-01-13,375,375,375,375,0,0.00%,0,45
2026-01-14,375,375,375,375,0,0.00%,0,45
2026-01-15,375,375,375,375,0,0.00%,0,45
2026-01-16,375,375,375,375,0,0.00%,0,45
2026-01-20,375,375,375,375,0,0.00%,0,45
2026-01-21,376,376,376,376,1,+0.27%,2,45
2026-01-22,376,376,376,376,0,0.00%,0,45
2026-01-23,376,376,376,376,0,0.00%,3,42
2026-01-26,376,376,376,376,0,0.00%,0,42
2026-01-27,376,376,376,376,0,0.00%,3,45
2026-01-28,376,376,376,376,0,0.00%,0,45
2026-01-29,376,376,376,376,0,0.00%,0,45
2026-01-30,376,376,376,376,0,0.00%,0,33
2026-02-02,376,376,376,376,0,0.00%,0,33
2026-02-03,376,376,376,376,0,0.00%,0,33
2026-02-04,376,376,376,376,0,0.00%,0,33
2026-02-05,376,376,376,376,0,0.00%,0,33
2026-02-06,376,376,376,376,0,0.00%,0,33
2026-02-09,371,371,371,371,-5.,-1.33%,3,36
2026-02-10,371,371,371,371,0,0.00%,0,36
2026-02-11,371,371,371,371,0,0.00%,0,36
2026-02-12,371,371,371,371,0,0.00%,0,36
2026-02-13,371,371,371,371,0,0.00%,0,36
2026-02-17,371,371,371,371,0,0.00%,0,36
2026-02-18,371,371,371,371,0,0.00%,0,36
2026-02-19,371,371,371,371,0,0.00%,0,36
2026-02-20,375,375,375,375,4,+1.08%,4,36
2026-02-23,375,375,375,375,0,0.00%,0,36
2026-02-24,374,374,374,374,-1.,-0.27%,0,36
2026-02-25,374,374,374,374,0,0.00%,0,36
2026-02-26,374,374,374,374,0,0.00%,0,36
2026-02-27,374,374,374,374,0,0.00%,0,21
2026-03-02,374,374,374,374,0,0.00%,0,21
2026-03-03,374,374,374,374,0,0.00%,0,21
2026-03-04,374,374,374,374,0,0.00%,0,21
2026-03-05,376,376,376,376,2,+0.53%,0,21
2026-03-06,376,376,376,376,0,0.00%,0,21
2026-03-09,376,376,376,376,0,0.00%,0,21
2026-03-10,376,376,376,376,0,0.00%,0,21
2026-03-11,376,376,376,376,0,0.00%,3,21
2026-03-12,382,382,382,382,6,+1.60%,12,21
2026-03-13,390,390,390,390,8,+2.09%,6,38
2026-03-16,393,393,386,393,3,+0.77%,0,38
2026-03-17,399,399,399,399,6,+1.53%,0,38
2026-03-18,398,398,394,398,-1.,-0.25%,0,38
2026-03-19,398,398,398,398,0,0.00%,3,38
2026-03-20,398,398,398,398,0,0.00%,0,38
2026-03-23,398,398,398,398,0,0.00%,0,38
2026-03-24,398,398,398,398,0,0.00%,0,38
2026-03-25,398,398,398,398,0,0.00%,0,38
2026-03-26,404,404,404,404,6,+1.51%,0,38
2026-03-27,404,404,404,404,0,0.00%,5,35
2026-03-30,412,412,412,412,8,+1.98%,0,35
2026-03-31,412,412,412,412,0,0.00%,0,35
2026-04-01,412,412,412,412,0,0.00%,0,35
2026-04-02,409,409,409,409,-3.,-0.73%,9,0
2026-04-06,409,409,409,409,0,0.00%,0,35
2026-04-07,416,416,416,416,7,+1.71%,3,35
2026-04-08,416,416,416,416,0,0.00%,0,35
2026-04-09,416,416,416,416,0,0.00%,0,35
2026-04-10,407,407,407,407,-9.,-2.16%,12,31
2026-04-13,407,407,407,407,0,0.00%,0,31
2026-04-14,407,407,407,407,0,0.00%,3,28
2026-04-15,407,407,407,407,0,0.00%,0,28
2026-04-16,407,407,407,407,0,0.00%,0,28
2026-04-17,401,401,401,401,-6.,-1.47%,6,28
2026-04-20,403,403,403,403,2,+0.50%,0,28
2026-04-21,408,408,408,408,5,+1.24%,0,28
2026-04-22,408,408,408,408,0,0.00%,0,28
2026-04-23,408,408,408,408,0,0.00%,0,28
2026-04-24,408,408,408,408,0,0.00%,0,28
2026-04-27,410,410,410,410,2,+0.49%,0,28
2026-04-28,417,417,417,417,7,+1.71%,0,28
2026-04-29,422,422,422,422,5,+1.20%,0,28
2026-04-30,422,422,422,422,0,0.00%,0,28
2026-05-01,422,422,422,422,0,0.00%,0,19
2026-05-04,422,422,422,422,0,0.00%,0,19
2026-05-05,422,422,422,422,0,0.00%,0,19
2026-05-06,422,422,422,422,0,0.00%,0,19
