Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-03-12,388,388,388,388,26,+7.18%,12,21
2026-03-13,396,396,396,396,8,+2.06%,6,38
2026-03-16,399,399,388,399,3,+0.76%,0,38
2026-03-17,405,405,405,405,6,+1.50%,0,38
2026-03-18,401,401,398,401,-4.,-0.99%,0,38
2026-03-19,401,401,401,401,0,0.00%,3,38
2026-03-20,401,401,401,401,0,0.00%,0,38
2026-03-23,401,401,401,401,0,0.00%,0,38
2026-03-24,401,401,401,401,0,0.00%,0,38
2026-03-25,401,401,401,401,0,0.00%,0,38
2026-03-26,407,407,407,407,6,+1.50%,0,38
2026-03-27,412,412,407,407,0,0.00%,5,35
2026-03-30,415,415,415,415,8,+1.97%,0,35
2026-03-31,415,415,415,415,0,0.00%,0,35
2026-04-01,415,415,415,415,0,0.00%,0,35
2026-04-02,410,410,410,410,-5.,-1.20%,9,0
2026-04-06,410,410,410,410,0,0.00%,0,35
2026-04-07,417,417,417,417,7,+1.71%,3,35
2026-04-08,413,413,413,413,-4.,-0.96%,0,35
2026-04-09,413,413,413,413,0,0.00%,0,35
2026-04-10,406,406,406,406,-7.,-1.69%,12,31
2026-04-13,406,406,406,406,0,0.00%,0,31
2026-04-14,406,406,406,406,0,0.00%,3,28
2026-04-15,406,406,406,406,0,0.00%,0,28
2026-04-16,406,406,406,406,0,0.00%,0,28
2026-04-17,400,400,400,400,-6.,-1.48%,6,28
2026-04-20,402,402,402,402,2,+0.50%,0,28
2026-04-21,410,410,410,410,8,+1.99%,0,28
2026-04-22,410,410,410,410,0,0.00%,0,28
2026-04-23,410,410,410,410,0,0.00%,0,28
2026-04-24,412,412,412,412,2,+0.49%,0,28
2026-04-27,414,414,414,414,2,+0.49%,0,28
2026-04-28,421,421,421,421,7,+1.69%,0,28
2026-04-29,426,426,426,426,5,+1.19%,0,28
2026-04-30,426,426,426,426,0,0.00%,0,28
2026-05-01,426,426,426,426,0,0.00%,0,19
2026-05-04,426,426,426,426,0,0.00%,0,19
2026-05-05,426,426,426,426,0,0.00%,0,19
2026-05-06,426,426,426,426,0,0.00%,0,19
2026-05-07,426,426,426,426,0,0.00%,0,19
2026-05-08,426,426,426,426,0,0.00%,0,19
2026-05-11,426,426,426,426,0,0.00%,0,19
2026-05-12,426,426,426,426,0,0.00%,0,19
2026-05-13,422,422,422,422,-4.,-0.94%,0,19
2026-05-14,422,422,422,422,0,0.00%,0,19
2026-05-15,419,419,419,419,-3.,-0.71%,0,19
2026-05-18,418,418,418,418,-1.,-0.24%,0,19
2026-05-19,414,414,414,414,-4.,-0.96%,0,19
2026-05-20,395,395,395,395,-19.,-4.59%,3,16
2026-05-21,395,395,395,395,0,0.00%,0,16
2026-05-22,396,396,396,396,1,+0.25%,0,16
2026-05-26,396,396,396,396,0,0.00%,0,16
2026-05-27,396,396,396,396,0,0.00%,0,16
2026-05-28,396,396,396,396,0,0.00%,0,16
2026-05-29,396,396,396,396,0,0.00%,0,10
2026-06-01,396,396,396,396,0,0.00%,0,10
2026-06-02,397,397,397,397,1,+0.25%,0,10
2026-06-03,397,397,397,397,0,0.00%,0,10
2026-06-04,397,397,397,397,0,0.00%,0,10
2026-06-05,397,397,397,397,0,0.00%,0,10
2026-06-08,397,397,397,397,0,0.00%,0,10
2026-06-09,397,397,397,397,0,0.00%,0,10
2026-06-10,397,397,397,397,0,0.00%,0,10
2026-06-11,397,397,397,397,0,0.00%,0,10
2026-06-12,397,397,397,397,0,0.00%,9,19
2026-06-15,397,397,397,397,0,0.00%,0,19
2026-06-16,394,394,394,394,-3.,-0.76%,0,19
2026-06-17,392,392,392,392,-2.,-0.51%,9,19
2026-06-18,390,390,390,390,-2.,-0.51%,0,19
2026-06-22,388,388,388,388,-2.,-0.51%,0,19
2026-06-23,388,388,388,388,0,0.00%,0,19
2026-06-24,388,388,388,388,0,0.00%,0,19
2026-06-25,388,388,388,388,0,0.00%,0,19
2026-06-26,383,383,383,383,-5.,-1.29%,0,19
2026-06-29,383,383,383,383,0,0.00%,0,19
2026-06-30,383,383,383,383,0,0.00%,0,19
2026-07-01,383,383,383,383,0,0.00%,0,19
2026-07-02,383,383,383,383,0,0.00%,0,16
2026-07-06,382,382,382,382,-1.,-0.26%,0,16
2026-07-07,379,379,379,379,-3.,-0.79%,0,16
2026-07-08,379,379,379,379,0,0.00%,0,16
2026-07-09,379,379,379,379,0,0.00%,0,16
2026-07-10,379,379,379,379,0,0.00%,0,16
2026-07-13,379,379,379,379,0,0.00%,0,16
2026-07-14,379,379,379,379,0,0.00%,0,16
2026-07-15,379,379,379,379,0,0.00%,0,16
2026-07-16,379,379,379,379,0,0.00%,0,16
