Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2024-09-26,376,376,376,376,3,+0.80%,0,60
2024-09-27,378,378,378,378,2,+0.53%,0,120
2024-09-30,390,395,390,390,12,+3.17%,0,120
2024-10-01,390,390,390,390,0,0.00%,0,120
2024-10-02,391,391,391,391,1,+0.26%,0,120
2024-10-03,392,392,392,392,1,+0.26%,0,50
2024-10-04,392,396,392,392,0,0.00%,0,120
2024-10-07,407,407,407,407,15,+3.83%,0,120
2024-10-08,403,403,402,403,-4.,-0.98%,0,120
2024-10-09,401,401,398,401,-2.,-0.50%,0,120
2024-10-10,396,396,396,396,-5.,-1.25%,0,50
2024-10-11,389,389,389,389,-7.,-1.77%,0,120
2024-10-14,386,386,386,386,-3.,-0.77%,6,117
2024-10-15,383,383,381,383,-3.,-0.78%,0,117
2024-10-16,377,377,377,377,-6.,-1.57%,0,117
2024-10-17,372,372,372,372,-5.,-1.33%,0,60
2024-10-18,372,372,372,372,0,0.00%,0,117
2024-10-21,372,372,372,372,0,0.00%,0,117
2024-10-22,372,372,372,372,0,0.00%,0,117
2024-10-23,372,372,372,372,0,0.00%,0,117
2024-10-24,372,372,372,372,0,0.00%,0,50
2024-10-25,372,372,372,372,0,0.00%,0,117
2024-10-28,372,372,372,372,0,0.00%,0,117
2024-10-29,379,379,379,379,7,+1.88%,0,117
2024-10-30,386,386,386,386,7,+1.85%,0,117
2024-10-31,386,386,386,386,0,0.00%,0,40
2024-11-01,386,386,386,386,0,0.00%,0,107
2024-11-04,386,386,382,386,0,0.00%,0,107
2024-11-05,386,386,386,386,0,0.00%,0,107
2024-11-06,386,386,386,386,0,0.00%,0,107
2024-11-07,386,386,386,386,0,0.00%,0,40
2024-11-08,382,382,380,382,-4.,-1.04%,0,107
2024-11-11,382,382,380,382,0,0.00%,0,107
2024-11-12,377,377,377,377,-5.,-1.31%,0,107
2024-11-13,367,367,367,367,-10.,-2.65%,0,107
2024-11-14,367,367,367,367,0,0.00%,0,40
2024-11-15,367,367,367,367,0,0.00%,0,107
2024-11-18,367,367,366,367,0,0.00%,3,107
2024-11-19,365,365,365,365,-2.,-0.54%,0,107
2024-11-20,355,355,355,355,-10.,-2.74%,0,107
2024-11-21,353,353,353,353,-2.,-0.56%,0,40
2024-11-22,353,353,353,353,0,0.00%,3,107
2024-11-25,353,353,353,353,0,0.00%,0,107
2024-11-26,352,352,352,352,-1.,-0.28%,0,107
2024-11-27,350,350,350,350,-2.,-0.57%,0,40
2024-11-29,350,350,350,350,0,0.00%,0,97
2024-12-02,355,355,355,355,5,+1.43%,0,97
2024-12-03,344,344,343,344,-11.,-3.10%,0,97
2024-12-04,345,345,345,345,1,+0.29%,0,97
2024-12-05,344,345,344,345,0,0.00%,0,30
2024-12-06,343,343,343,343,-2.,-0.58%,0,97
2024-12-09,345,345,345,345,2,+0.58%,3,97
2024-12-10,343,343,343,343,-2.,-0.58%,0,97
2024-12-11,341,341,341,341,-2.,-0.58%,3,97
2024-12-12,340,348,340,348,7,+2.05%,0,30
2024-12-13,348,348,348,348,0,0.00%,0,97
2024-12-16,347,347,347,347,-1.,-0.29%,0,97
2024-12-17,344,351,344,351,4,+1.15%,0,97
2024-12-18,351,351,351,351,0,0.00%,0,97
2024-12-19,351,351,351,351,0,0.00%,0,30
2024-12-20,346,351,346,351,0,0.00%,0,97
2024-12-23,346,346,346,346,-5.,-1.42%,0,97
2024-12-24,346,346,346,346,0,0.00%,0,97
2024-12-26,346,346,346,346,0,0.00%,0,30
2024-12-27,346,346,346,346,0,0.00%,0,97
2024-12-30,345,346,345,346,0,0.00%,0,30
2024-12-31,345,345,345,345,-1.,-0.29%,0,97
2025-01-02,345,345,345,345,0,0.00%,0,20
2025-01-03,345.19,345.19,345.19,345.19,0.19,+0.06%,0,87
"Downloaded from Barchart.com as of 08-12-2026 05:43am CDT"
