Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
2026-08-11,381.5,387.5,381.5,387.5,8,+2.11%,176,2226
2026-08-10,379,379.5,379,379.5,-1.5,-0.39%,580,2303
2026-08-07,381,381,381,381,1,+0.26%,172,2172
2026-08-06,379.5,381,379.5,380,3,+0.80%,442,2262
2026-08-05,377,377,377,377,0,0.00%,624,2348
2026-08-04,378,378,377,377,-3.,-0.79%,1018,2424
2026-08-03,378,380,373,380,-2.,-0.52%,899,2338
2026-07-31,382,382,382,382,-5.5,-1.42%,30,2104
2026-07-30,387.5,387.5,387.5,387.5,-4.,-1.02%,0,2094
2026-07-29,391.5,392,390.5,391.5,-0.5,-0.13%,227,2144
2026-07-28,392,392,392,392,-1.,-0.25%,31,2089
2026-07-27,393,393,393,393,-2.,-0.51%,342,2079
2026-07-24,395,395.5,395,395,0,0.00%,153,2084
2026-07-23,394,395,394,395,1,+0.25%,988,2352
2026-07-22,387,395.5,387,394,9,+2.34%,1384,2573
2026-07-21,385,387,385,385,0.5,+0.13%,435,2353
2026-07-20,385,385.5,383,384.5,-2.,-0.52%,192,2252
2026-07-17,384.5,387.5,384.5,386.5,2,+0.52%,327,2368
2026-07-16,380,386,380,384.5,2,+0.52%,590,2527
2026-07-15,382,382.5,381.5,382.5,0,0.00%,142,2271
2026-07-14,382.5,382.5,382.5,382.5,5.5,+1.46%,450,2217
2026-07-13,377,377,377,377,-0.5,-0.13%,0,2067
2026-07-10,377.5,377.5,377.5,377.5,-2.,-0.53%,0,2067
2026-07-09,381,381,379.5,379.5,-1.5,-0.39%,33,2078
2026-07-08,381,381,381,381,3,+0.79%,50,2067
2026-07-07,378,378,378,378,-1.,-0.26%,0,2042
2026-07-06,379,379.5,379,379,0,0.00%,66,2045
2026-07-03,380,380.5,371,379,-5.5,-1.43%,358,2107
2026-07-02,386,386.5,384.5,384.5,0,0.00%,176,2002
2026-07-01,384.5,384.5,384.5,384.5,1,+0.26%,0,1974
2026-06-30,384,384,383,383.5,-0.5,-0.13%,70,1993
2026-06-29,384,384,384,384,0,0.00%,50,2013
2026-06-26,384.5,386,383,384,-1.,-0.26%,300,2083
2026-06-25,386,386,385,385,-3.5,-0.90%,313,1968
2026-06-24,388.5,388.5,388.5,388.5,1,+0.26%,0,1964
2026-06-23,387.5,387.5,387.5,387.5,-3.,-0.77%,0,1964
2026-06-22,390.5,390.5,390.5,390.5,2.5,+0.64%,10,1969
2026-06-19,388,388,387,388,-2.5,-0.64%,605,1964
2026-06-18,390.5,390.5,390.5,390.5,0,0.00%,34,1729
2026-06-17,390,390.5,390,390.5,0.5,+0.13%,145,1734
2026-06-16,390,392.5,390,390,-3.,-0.76%,297,1759
2026-06-15,395,395,393,393,-4.5,-1.13%,190,1685
2026-06-12,398,398,396.5,397.5,-3.5,-0.87%,630,1636
2026-06-11,401,401,401,401,0.5,+0.12%,0,1432
2026-06-10,400.5,400.5,400.5,400.5,0.5,+0.13%,0,1432
2026-06-09,399,400,399,400,1,+0.25%,320,1432
2026-06-08,399,399,399,399,-4.,-0.99%,220,1442
2026-06-05,403,403,403,403,2.5,+0.62%,6,1335
2026-06-04,400.5,400.5,400.5,400.5,-0.5,-0.12%,600,1332
2026-06-03,401,401,401,401,0,0.00%,300,1159
2026-06-02,401,401,401,401,-2.5,-0.62%,0,1059
2026-06-01,401,403.5,398,403.5,2.5,+0.62%,85,1094
2026-05-29,401,401,401,401,1,+0.25%,0,1079
2026-05-28,400,400,399,400,1,+0.25%,70,1089
2026-05-27,400,400,399,399,-1.5,-0.37%,20,1079
2026-05-26,400.5,400.5,400.5,400.5,0,0.00%,70,1109
2026-05-22,400.5,400.5,400.5,400.5,2.5,+0.63%,0,1102
2026-05-21,398,398,397,398,0.5,+0.13%,555,1219
2026-05-20,397.5,397.5,394.5,397.5,-13.,-3.17%,120,1029
