Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume,"Open Int"
IS7F23,2023-01-12,409,411,409,411,2,+0.49%,0,0
IS7F23,2023-01-13,411,413,411,413,2,+0.49%,0,12
IS7F23,2023-01-17,412,412,412,412,-1.,-0.24%,0,12
IS7F23,2023-01-18,413,413,413,413,1,+0.24%,0,12
IS7F23,2023-01-19,413,413,413,413,0,0.00%,0,12
IS7F23,2023-01-20,412,412,412,412,-1.,-0.24%,0,12
IS7F23,2023-01-23,412,412,412,412,0,0.00%,0,12
IS7F23,2023-01-24,412,412,412,412,0,0.00%,0,12
IS7F23,2023-01-25,412,412,412,412,0,0.00%,0,12
IS7G23,2023-01-26,410,410,410,410,-2.,-0.49%,0,0
IS7G23,2023-01-27,410,415,410,410,0,0.00%,0,12
IS7G23,2023-01-30,420,420,420,420,10,+2.44%,0,12
IS7G23,2023-01-31,420,420,420,420,0,0.00%,0,12
IS7G23,2023-02-01,420,420,420,420,0,0.00%,0,11
IS7G23,2023-02-02,420,420,415,415,-5.,-1.19%,0,0
IS7G23,2023-02-03,425,425,425,425,10,+2.41%,0,11
IS7G23,2023-02-06,425,425,425,425,0,0.00%,0,11
IS7G23,2023-02-07,425,425,425,425,0,0.00%,0,11
IS7G23,2023-02-08,425,425,425,425,0,0.00%,0,11
IS7G23,2023-02-09,425,425,425,425,0,0.00%,0,0
IS7G23,2023-02-10,425,430,425,425,0,0.00%,6,13
IS7G23,2023-02-13,420,420,420,420,-5.,-1.18%,0,13
IS7G23,2023-02-14,420,420,420,420,0,0.00%,0,13
IS7G23,2023-02-15,420,426,420,426,6,+1.43%,0,13
IS7G23,2023-02-16,425,425,425,425,-1.,-0.23%,0,0
IS7G23,2023-02-17,425,425,425,425,0,0.00%,0,13
IS7G23,2023-02-21,427,427,427,427,2,+0.47%,8,15
IS7G23,2023-02-22,427,427,427,427,0,0.00%,0,17
IS7H23,2023-02-23,470,470,470,470,43,+10.07%,0,0
IS7H23,2023-02-24,470,470,470,470,0,0.00%,0,18
IS7H23,2023-02-27,470,470,470,470,0,0.00%,0,18
IS7H23,2023-02-28,470,470,470,470,0,0.00%,0,18
IS7H23,2023-03-01,470,470,468,470,0,0.00%,0,17
IS7H23,2023-03-02,464,464,464,464,-6.,-1.28%,0,0
IS7H23,2023-03-03,459,459,459,459,-5.,-1.08%,0,17
IS7H23,2023-03-06,459,459,459,459,0,0.00%,0,17
IS7H23,2023-03-07,459,459,459,459,0,0.00%,0,17
IS7H23,2023-03-08,458,459,458,459,0,0.00%,0,17
IS7H23,2023-03-09,459,459,459,459,0,0.00%,0,0
IS7H23,2023-03-10,458,458,458,458,-1.,-0.22%,0,17
IS7H23,2023-03-13,458,458,458,458,0,0.00%,0,17
IS7H23,2023-03-14,458,458,458,458,0,0.00%,0,17
IS7H23,2023-03-15,458,458,458,458,0,0.00%,0,17
IS7H23,2023-03-16,450,450,450,450,-8.,-1.75%,0,0
IS7H23,2023-03-17,454,454,454,454,4,+0.89%,0,17
IS7H23,2023-03-20,454,454,454,454,0,0.00%,0,17
IS7H23,2023-03-21,455,455,455,455,1,+0.22%,0,17
IS7H23,2023-03-22,455,455,455,455,0,0.00%,0,17
IS7H23,2023-03-23,455,455,455,455,0,0.00%,0,0
IS7H23,2023-03-24,456,456,456,456,1,+0.22%,0,17
IS7J23,2023-03-27,440,440,440,440,-16.,-3.51%,0,17
IS7J23,2023-03-28,440,440,440,440,0,0.00%,0,17
IS7J23,2023-03-29,440,440,440,440,0,0.00%,0,17
IS7J23,2023-03-30,440,440,440,440,0,0.00%,0,0
IS7J23,2023-03-31,440,440,440,440,0,0.00%,0,16
IS7J23,2023-04-03,440,440,440,440,0,0.00%,0,16
IS7J23,2023-04-04,440,440,440,440,0,0.00%,0,16
IS7J23,2023-04-05,440,440,440,440,0,0.00%,6,22
IS7J23,2023-04-06,435,435,435,435,-5.,-1.14%,0,2
IS7J23,2023-04-10,435,435,435,435,0,0.00%,0,22
IS7J23,2023-04-11,436,436,436,436,1,+0.23%,0,22
IS7J23,2023-04-12,436,436,435,436,0,0.00%,0,22
IS7J23,2023-04-13,435,435,428,435,-1.,-0.23%,0,0
IS7J23,2023-04-14,436,436,436,436,1,+0.23%,0,22
IS7J23,2023-04-17,436,436,436,436,0,0.00%,0,22
IS7J23,2023-04-18,433,433,428,433,-3.,-0.69%,18,24
IS7J23,2023-04-19,433,433,433,433,0,0.00%,0,25
IS7J23,2023-04-20,426,426,426,426,-7.,-1.62%,0,0
IS7J23,2023-04-21,431,431,431,431,5,+1.17%,0,0
IS7K23,2023-04-24,400,400,400,400,-31.,-7.19%,0,25
IS7K23,2023-04-25,400,400,400,400,0,0.00%,0,25
IS7K23,2023-04-26,400,400,400,400,0,0.00%,0,25
IS7K23,2023-04-27,400,400,400,400,0,0.00%,0,0
