family,horizon,raw_oos_n,nonoverlap_n,mae_log,baseline_mae_log,mae_skill_log,mae_skill_pct,direction_hit,nonoverlap_mae_skill_log,bootstrap_skill_ci_low,bootstrap_skill_ci_high,third_skill_min,third_skill_median,primary_quality_oos_n
baseline,5,486,116,0.011502349879256113,0.011150671332143541,-0.0003516785471125716,-0.03153877794772801,0.31893004115226337,-0.0003410392536686152,-0.0006991489156895329,1.0975101000472731e-05,-0.0010048865585594669,-0.00022945141756270694,64
grade,5,486,116,0.011474047558978871,0.011150671332143541,-0.00032337622683533025,-0.029000606080384423,0.3148148148148148,-0.00022599637875689478,-0.000688623894173793,3.399280438653962e-05,-0.0011540099239329077,-0.00021616971573518683,64
turkey,5,141,34,0.017781990099478347,0.016030607869525256,-0.0017513822299530905,-0.10925239044007365,0.3829787234042553,-0.0022783634992713624,-0.003254428110070279,-0.00028577483242139313,-0.0037912036954607584,-0.0011570357443073664,64
combined,5,141,34,0.020950430437238286,0.016030607869525256,-0.00491982256771303,-0.30690180982255727,0.28368794326241137,-0.004978705366762114,-0.007000329129565412,-0.0026910969509103028,-0.011222829461570716,-0.0036745539804659815,64
baseline,10,477,59,0.017204754900921767,0.016466321019349427,-0.0007384338815723396,-0.04484510417989619,0.38784067085953877,-0.0007730223507539692,-0.0014592066279910517,-4.660963511579965e-05,-0.0018929730073359748,-0.0001949591300711255,61
grade,10,477,59,0.017950942645808588,0.016466321019349427,-0.0014846216264591608,-0.090161100631683,0.35639412997903563,-0.002206989410406951,-0.0026994911840732185,-0.00044988282236762774,-0.0037317377635955416,-0.00042153855348478486,61
turkey,10,133,17,0.026620019449475275,0.021907370087969304,-0.00471264936150597,-0.21511707441752576,0.3007518796992481,-0.004773119380533129,-0.007424565098702293,-0.00209489022112089,-0.0058876429858720075,-0.005860809497388254,61
combined,10,133,17,0.030279812418064777,0.021907370087969304,-0.008372442330095473,-0.38217468808331767,0.21052631578947367,-0.010425300176013046,-0.01147551377325998,-0.00533790282532736,-0.01342436508731576,-0.008826533534955085,61
baseline,15,463,40,0.022566819103739727,0.021740632372481784,-0.0008261867312579427,-0.0380019641150682,0.3282937365010799,-0.0006328004846749176,-0.0022303165626375602,0.0005818581932003783,-0.0020843725405072875,-0.0007023522491953343,57
grade,15,463,40,0.02313368669264093,0.021740632372481784,-0.001393054320159147,-0.06407607176700186,0.4038876889848812,-0.0021658285371656573,-0.0034327434434233274,0.0004626010505458428,-0.0030465296976141133,-0.0008283479842813891,57
turkey,15,124,11,0.0344474477191236,0.029903035988300238,-0.004544411730823362,-0.1519715835074871,0.45161290322580644,-0.008136818859631814,-0.00931342015340065,0.0003483964029997098,-0.010170156720864632,-0.0077681920232251095,57
combined,15,124,11,0.03703413188897769,0.029903035988300238,-0.00713109590067745,-0.2384739764707349,0.5,-0.013845869238859727,-0.013298461977898123,-0.0011953652355780463,-0.010622044120596925,-0.010239484464623326,57
baseline,30,427,19,0.038046755895814625,0.0391342826448588,0.0010875267490441723,0.027789617581939867,0.36065573770491804,-0.0002940345077436582,-0.0018065763806071515,0.004156654690973484,-0.0010393125602984124,-0.0003528026678142615,44
grade,30,427,19,0.03586993128180564,0.0391342826448588,0.0032643513630531557,0.0834141101467719,0.49882903981264637,0.006471964783115354,-0.0008558016475342861,0.007406673816735263,-0.0013479125198613065,-7.559927132836514e-05,44
turkey,30,99,5,0.06156878268160822,0.05953324010108301,-0.0020355425805252056,-0.03419169823562443,0.3838383838383838,-0.00560677224637228,-0.014775838801273745,0.010177496018020262,-0.017690408616538866,-0.004292734934680603,44
combined,30,99,5,0.05143731582327355,0.05953324010108301,0.00809592427780946,0.13598998247135857,0.46464646464646464,0.007134432552532002,-0.0051058886536605496,0.021394250951748673,-0.0011860557525486953,0.00632096534017762,44
baseline,45,393,12,0.05059391512017353,0.053289880984678246,0.0026959658645047194,0.0505905776986039,0.4071246819338422,0.0026133040722848278,-0.0034152212971494066,0.008733034467388016,0.0020356274952591583,0.002702590634481798,35
grade,45,393,12,0.04680193338437564,0.053289880984678246,0.006487947600302607,0.12174820961165222,0.4758269720101781,0.0026052052730973843,-0.0011786396865949762,0.014996144816289398,-0.0033782490944526677,0.0063360566746278255,35
turkey,45,75,3,0.1095908415138382,0.07461520082001033,-0.03497564069382787,-0.46874685465495786,0.38666666666666666,-0.02281065556604705,-0.07831719366024549,0.0005782154587059662,-0.06372849063915662,-0.05085143544100909,35
combined,45,75,3,0.08842090923457863,0.07461520082001033,-0.013805708414568296,-0.18502541389483035,0.32,-0.024117498155881066,-0.042460773747409204,0.009494255750688779,-0.053221061133259376,-0.002468386660458538,35
baseline,60,360,8,0.06184960458597815,0.06825401796337799,0.006404413377399838,0.09383203463327472,0.44166666666666665,0.020895706468359254,-0.0040524618363364335,0.017844820624271618,0.003537660583013011,0.00405547029678692,23
