factor,cadence,horizon,native_matched_n,independent_n,spearman,pearson,circular_shift_p,first_half_spearman,second_half_spearman,stable_sign,first_date,last_date,holm_adjusted_p,screen_pass
china_hrc_mom1,weekly,10,71,36,0.3291928476686063,0.1654105897492583,0.0004997501249375312,0.6932685583615478,0.07533539731682146,True,2023-12-23,2025-10-24,0.06146926536731634,True
china_hrc_mom1,weekly,15,71,25,0.5065674823673639,0.5526121806402053,0.0004997501249375312,0.5410109189581528,0.4945054945054945,True,2023-12-23,2025-10-13,0.06146926536731634,True
china_hrc_mom1,weekly,30,68,14,0.6316201742038374,0.4148111744915263,0.0004997501249375312,0.5585812268712466,0.8524367141602663,True,2023-12-23,2025-10-06,0.06146926536731634,False
coking_coal_fixed_mom20,daily,5,38,8,-0.5714285714285715,-0.6527264451731538,0.0004997501249375312,-0.7999999999999999,-0.19999999999999998,True,2026-06-15,2026-08-04,0.06146926536731634,False
turkey_overlap_mom5,daily,5,477,119,0.15697997370229452,0.1798188257203573,0.03948025987006497,0.2180247962280355,0.1381873652518583,True,2023-12-23,2026-08-04,1.0,False
turkey_overlap_mom10,daily,5,472,117,0.14919800230579616,0.16512587273416038,0.07946026986506746,0.192605015062521,0.1430910512215232,True,2023-12-23,2026-08-04,1.0,False
turkey_overlap_mom20,daily,5,462,115,0.17426129469853405,0.13816878330495638,0.01249375312343828,0.20611844880983485,0.1825091550368455,True,2023-12-23,2026-08-04,1.0,False
iron_ore_fixed_mom5,daily,5,433,108,0.12965787681392985,0.11568672397385048,0.1839080459770115,0.1478012633577344,0.12484275567102476,True,2024-09-18,2026-08-04,1.0,False
iron_ore_fixed_mom20,daily,5,433,108,-0.011660018750691564,0.02068144330851015,0.9035482258870565,-0.11595631143258994,0.10075096282092166,False,2024-09-18,2026-08-04,1.0,False
china_hrc_mom1,weekly,5,72,70,0.28191515720533356,0.23683085123697592,0.035982008995502246,0.30195163519504037,0.2990532017249776,True,2023-12-23,2025-10-24,1.0,False
china_hrc_mom4,weekly,5,72,70,-0.11298205188936469,-0.11551350682331762,0.5227386306846576,-0.28046497312413976,0.12889674462528844,False,2023-12-23,2025-10-24,1.0,False
china_hrc_mom12,weekly,5,72,70,-0.04493865417725827,-0.14177669673533755,0.7146426786606697,-0.032585732544610856,-0.03580214386848324,True,2023-12-23,2025-10-24,1.0,False
turkey_overlap_mom5,daily,10,467,69,0.11180997231148274,0.06481996759481512,0.21039480259870064,0.11973389416888583,0.04977541388320877,True,2023-12-23,2026-07-28,1.0,False
turkey_overlap_mom10,daily,10,462,68,0.07360458340449563,0.062135903076185696,0.456271864067966,0.09822067356421277,0.02307986412289016,True,2023-12-23,2026-07-28,1.0,False
turkey_overlap_mom20,daily,10,452,67,0.18628553406847506,0.15240556669889016,0.047476261869065464,0.16741019499847906,0.1944211070484522,True,2023-12-23,2026-07-28,1.0,False
iron_ore_fixed_mom5,daily,10,426,63,0.17065684509865164,0.13364921531841228,0.2193903048475762,0.42051147141219064,-0.02602639296187683,False,2024-09-18,2026-07-28,1.0,False
iron_ore_fixed_mom20,daily,10,426,63,-0.09710614847866939,-0.06365666052156137,0.6451774112943528,-0.23994368291411264,-0.019061583577712607,True,2024-09-18,2026-07-28,1.0,False
turkey_rebar_fixed_mom5,daily,5,252,59,0.064256745362827,0.013925548032325407,0.719640179910045,-0.023732103959293403,0.11185237240810283,False,2025-07-10,2026-08-04,1.0,False
turkey_rebar_scrap_spread_mom5,daily,5,252,59,-0.15144297523136196,-0.11444321789106124,0.23938030984507747,0.008869179600886918,-0.21290322580645163,False,2025-07-10,2026-08-04,1.0,False
turkey_rebar_fixed_mom20,daily,5,238,56,-0.04987812170903588,-0.14500031275296085,0.735632183908046,0.014939683245556216,-0.04599589710256391,False,2025-07-31,2026-08-04,1.0,False
turkey_rebar_scrap_spread_mom20,daily,5,238,56,0.007280309002894343,-0.11704886922145624,0.896551724137931,0.1368925406392586,-0.16420361247947454,False,2025-07-31,2026-08-04,1.0,False
turkey_overlap_mom5,daily,15,456,47,0.1081370760281061,0.09110190252120394,0.4577711144427786,0.0374169330720211,0.1584331732303647,True,2023-12-23,2026-07-15,1.0,False
turkey_overlap_mom10,daily,15,451,46,-0.04580247131737123,-0.010812470719570838,0.7176411794102948,-0.12184286991221069,0.04853902947722215,False,2023-12-23,2026-07-15,1.0,False
turkey_overlap_mom20,daily,15,441,46,0.10348978914438216,0.12416746505251314,0.4767616191904048,0.2124820780176357,-0.019273536540947083,False,2023-12-23,2026-07-15,1.0,False
iron_ore_fixed_mom5,daily,15,420,43,0.2309758949110275,0.10796850385899745,0.21889055472263869,0.1576458822417267,0.28176171654432525,True,2024-09-18,2026-07-15,1.0,False
iron_ore_fixed_mom20,daily,15,420,43,0.0032510518759980957,-0.021512367383924747,1.0,-0.3402523625050601,0.2670807453416149,False,2024-09-18,2026-07-15,1.0,False
