family,horizon,as_of,current_price,predicted_log_return,predicted_pct,predicted_price,lower80_price,upper80_price,train_n,alpha,turkey_primary_quality,turkey_age
baseline,5,2026-08-11,38500.0,-0.0011841580165828734,-0.0011834571781405372,38454.436898641594,37796.263517354695,39124.071523964834,589,100.0,True,1.0
grade,5,2026-08-11,38500.0,-0.002461752772491784,-0.002458725144069156,38405.33908195334,37738.75845862416,39083.69353530623,589,100.0,True,1.0
turkey,5,2026-08-11,38500.0,-0.0011776021516177921,-0.0011769090502966105,38454.68900156358,37586.91438767955,39342.49805543208,184,100.0,True,1.0
combined,5,2026-08-11,38500.0,-0.0020674460457304248,-0.0020653103512190186,38420.485551478065,37557.1691913816,39303.6467282542,184,100.0,True,1.0
baseline,10,2026-08-11,38500.0,-0.0049329545132264785,-0.004920807474915553,38310.54891221575,37425.118337341795,39216.92764537888,585,100.0,True,1.0
grade,10,2026-08-11,38500.0,-0.0058044710423938144,-0.005787657647037633,38277.17518058905,37418.8427126065,39155.19651578889,585,100.0,True,1.0
turkey,10,2026-08-11,38500.0,-0.0014054694478480088,-0.0014044822382154145,38445.92743382871,37320.67207229018,39605.110363076055,181,100.0,True,1.0
combined,10,2026-08-11,38500.0,-0.006904060630682829,-0.006880282357768677,38235.1091292259,37162.80302079285,39338.35586368062,181,100.0,True,1.0
baseline,15,2026-08-11,38500.0,-0.008120127286052799,-0.008087248107042672,38188.640947878856,37035.58731303598,39377.59337038201,575,100.0,True,1.0
grade,15,2026-08-11,38500.0,-0.0114380449302222,-0.01137287918718195,38062.14415129349,36945.29103168632,39212.75964916171,575,100.0,True,1.0
turkey,15,2026-08-11,38500.0,-0.003787449939248636,-0.0037802865971809326,38354.45896600853,37031.47803939296,39724.70450707797,176,100.0,True,1.0
combined,15,2026-08-11,38500.0,-0.012560235600674895,-0.012481685056552595,38019.455125322726,36776.23444635644,39304.702881826386,176,100.0,True,1.0
baseline,30,2026-08-11,38500.0,-0.028365288168311853,-0.02796677029651073,37423.279343584334,35655.42164520402,39278.79049542319,550,0.1,True,1.0
grade,30,2026-08-11,38500.0,-0.040685547225864496,-0.039869001660403726,36965.043436074455,35437.13801894337,38558.8259272077,550,1.0,True,1.0
turkey,30,2026-08-11,38500.0,-0.005592780573403901,-0.005577170091690767,38285.2789514699,36796.91596294913,39833.843300013046,164,100.0,True,1.0
combined,30,2026-08-11,38500.0,-0.03094522619609028,-0.030471323604717004,37326.854041218394,36104.53402518196,38590.55573581524,164,100.0,True,1.0
baseline,45,2026-08-11,38500.0,-0.03024626297446704,-0.02979342183100284,37352.95325950639,35219.85820734359,39615.23947634608,525,100.0,True,1.0
grade,45,2026-08-11,38500.0,-0.06303242340242941,-0.06108696955943314,36148.15167196182,34474.906156875644,37902.608446652775,525,1.0,True,1.0
turkey,45,2026-08-11,38500.0,-0.010222930771219716,-0.01017085422383161,38108.42211238248,36286.13826530364,40022.22075210874,151,100.0,True,1.0
combined,45,2026-08-11,38500.0,-0.06475026675598079,-0.06269849050177037,36086.10811568184,34634.789352271684,37598.24220935439,151,100.0,True,1.0
baseline,60,2026-08-11,38500.0,-0.052152841782309445,-0.05081621918523048,36543.57556136863,34331.58965200242,38898.07982519586,503,100.0,True,1.0
grade,60,2026-08-11,38500.0,-0.06535963308534454,-0.06326947649463253,36064.125154956644,34020.158435262536,38230.89553410952,503,100.0,True,1.0
turkey,60,2026-08-11,38500.0,-0.002758106777917575,-0.002754306695898549,38393.959192207905,35966.785095958396,40984.92813633685,140,100.0,True,1.0
combined,60,2026-08-11,38500.0,-0.03714462794641904,-0.03646322907317709,37096.16568068268,35199.8340816562,39094.65894118531,140,100.0,True,1.0
baseline,90,2026-08-11,38500.0,-0.06209640587789969,-0.06020771907619579,36182.00281556646,33889.79535210681,38629.24854352285,467,100.0,True,1.0
grade,90,2026-08-11,38500.0,-0.07555941251255002,-0.07277535984808368,35698.14864584878,33396.3186981686,38158.631442542755,467,100.0,True,1.0
turkey,90,2026-08-11,38500.0,0.0029962633546793092,0.003000756638290867,38615.5291305742,37567.43838433643,39692.86047078357,120,10.0,True,1.0
combined,90,2026-08-11,38500.0,-0.08527538883152744,-0.08174062879695408,35352.98579131727,34524.65639990695,36201.1887934227,120,0.1,True,1.0
