month,price,avg_price,quotes,ldt,ships,ldt_lag1,ships_lag1,fwd_ret1m,ldt_lag2,ships_lag2,fwd_ret2m,ldt_lag3,ships_lag3,fwd_ret3m
2023-12,39600,40100.0,9,115690,16,,,-0.0025284463533586377,,,-0.010152371464017962,,,-0.025576841789649737
2024-01,39500,39321.739130434784,23,90125,15,115690.0,16.0,-0.007623925110659371,,,-0.023048395436291017,,,0.11015911054572408
2024-02,39200,39412.0,25,23801,8,90125.0,15.0,-0.015424470325631639,115690.0,16.0,0.11778303565638346,,,0.040005334613699206
2024-03,38600,38993.333333333336,15,68760,5,23801.0,8.0,0.1332075059820152,90125.0,15.0,0.05542980493933082,115690.0,16.0,0.02304839543629109
2024-06,44100,44100.0,1,59258,10,68760.0,5.0,-0.07777770104268426,23801.0,8.0,-0.11015911054572416,90125.0,15.0,-0.11015911054572416
2024-09,40800,40312.5,8,44966,7,59258.0,10.0,-0.03238140950303983,68760.0,5.0,-0.03238140950303983,23801.0,8.0,-0.03238140950303983
2024-10,39500,40469.565217391304,23,89334,10,44966.0,7.0,0.0,59258.0,10.0,0.0,68760.0,5.0,0.0
2024-11,39500,39708.333333333336,24,96745,14,89334.0,10.0,0.0,44966.0,7.0,0.0,59258.0,10.0,-0.02564243061333767
2024-12,39500,39490.90909090909,22,56491,10,96745.0,14.0,0.0,89334.0,10.0,-0.02564243061333767,44966.0,7.0,0.01007565198874164
2025-01,39500,39472.0,25,120822,10,56491.0,10.0,-0.02564243061333767,96745.0,14.0,0.01007565198874164,89334.0,10.0,-0.012739025777429714
2025-02,38500,38785.0,20,153081,10,120822.0,10.0,0.035718082602079246,56491.0,10.0,0.012903404835907782,96745.0,14.0,-0.026317308317373417
2025-03,39900,38920.0,25,74529,11,153081.0,10.0,-0.0228146777661714,120822.0,10.0,-0.062035390919452635,56491.0,10.0,-0.09180754925312286
2025-04,39000,39942.857142857145,21,47222,9,74529.0,11.0,-0.03922071315328127,153081.0,10.0,-0.06899287148695143,120822.0,10.0,-0.025975486403260677
2025-05,37500,38843.47826086957,23,28378,4,47222.0,9.0,-0.029772158333670144,74529.0,11.0,0.013245226750020723,153081.0,10.0,0.007968169649176881
2025-06,36400,37050.0,22,68700,8,28378.0,4.0,0.04301738508369086,47222.0,9.0,0.03774032798284711,74529.0,11.0,-0.011049836186584935
2025-07,38000,37025.0,24,145768,12,68700.0,8.0,-0.005277057100843781,28378.0,4.0,-0.05406722127027582,47222.0,9.0,-0.09952959534703305
2025-08,37800,38045.454545454544,22,111276,11,145768.0,12.0,-0.048790164169432056,68700.0,8.0,-0.0942525382461894,28378.0,4.0,-0.08269171584511341
2025-09,36000,37300.0,24,183670,15,111276.0,11.0,-0.04546237407675729,145768.0,12.0,-0.03390155167568134,68700.0,8.0,0.01379332213233577
2025-10,34400,34595.454545454544,22,126536,16,183670.0,15.0,0.011560822401076006,111276.0,11.0,0.05925569620909325,145768.0,12.0,0.07015498666712874
2025-11,34800,34808.0,25,136381,11,126536.0,16.0,0.04769487380801724,183670.0,15.0,0.05859416426605281,111276.0,11.0,0.03667547855840657
2025-12,36500,34876.92307692308,26,25222,4,136381.0,11.0,0.010899290458035638,126536.0,16.0,-0.011019395249610538,183670.0,15.0,0.10398971352404764
2026-01,36900,36956.0,25,41025,6,25222.0,4.0,-0.021918685707646275,136381.0,11.0,0.09309042306601203,126536.0,16.0,0.08316478326604203
2026-02,36100,36752.17391304348,23,119470,16,41025.0,6.0,0.11500910877365818,25222.0,4.0,0.10508346897368831,136381.0,11.0,0.07982960165248494
2026-03,40500,38166.666666666664,24,54383,7,119470.0,16.0,-0.00992563979996993,41025.0,6.0,-0.03517950712117334,25222.0,4.0,-0.08230864746272364
2026-04,40100,40950.0,26,179373,14,54383.0,7.0,-0.025253867321203417,119470.0,16.0,-0.07238300766275363,41025.0,6.0,-0.040718093018784915
2026-05,39100,39308.0,25,8395,1,179373.0,14.0,-0.047129140341550246,54383.0,7.0,-0.01546422569758159,119470.0,16.0,-0.01546422569758159
2026-06,37300,37668.42105263158,19,173039,9,8395.0,1.0,0.0316649146439687,179373.0,14.0,0.0316649146439687,54383.0,7.0,
2026-07,38500,37792.59259259259,27,109370,15,173039.0,9.0,0.0,8395.0,1.0,,179373.0,14.0,
2026-08,38500,38800.0,8,43402,1,109370.0,15.0,,173039.0,9.0,,8395.0,1.0,
