origin_index,origin_date,target_end,actual,predicted,baseline,interval_half_80,alpha,train_n,quality_primary
489,2026-03-17,2026-05-01,0.0587653092262516,0.02277879497087803,0.024033199444156193,0.02440653912930555,10.0,41,0.0
490,2026-03-18,2026-05-02,0.07164187965852839,0.015132340178881142,0.02545826941879832,0.024957269050296587,10.0,42,0.0
491,2026-03-19,2026-05-04,0.07410797215372183,0.0412802877639048,0.02545826941879832,0.024957269050296587,10.0,42,0.0
492,2026-03-20,2026-05-04,0.07410797215372183,0.041955907305578986,0.02688333939344045,0.025083235247820326,10.0,43,0.0
493,2026-03-21,2026-05-05,0.06618190688130118,0.0502255470140952,0.02688333939344045,0.02501366154266739,10.0,44,0.0
494,2026-03-23,2026-05-07,0.04841709943837499,0.04176114468325125,0.02688333939344045,0.024968695451583273,10.0,45,0.0
495,2026-03-25,2026-05-09,0.035901291506544385,0.05136924684859354,0.024033199444156193,0.02441904835305902,10.0,47,0.0
496,2026-03-26,2026-05-11,0.03599360264790545,0.03276436097137545,0.02524488449049333,0.02407079976733896,10.0,48,0.0
497,2026-03-27,2026-05-11,0.03337922207383461,0.009506149143470064,0.024033199444156193,0.023593375592605256,10.0,49,0.0
498,2026-03-28,2026-05-12,0.017926216268152113,0.004506870117321364,0.024001194778576297,0.023792428217225183,10.0,50,0.0
499,2026-03-30,2026-05-14,-0.020513539833102903,0.0015866931292526916,0.024033199444156193,0.02374132493699946,10.0,51,0.0
500,2026-03-31,2026-05-15,-0.042881727483265686,-0.017143671769850426,0.026456569536830465,0.025237919288559233,10.0,53,0.0
501,2026-04-01,2026-05-16,-0.03517950712117334,-0.01830921348577113,0.026669954465135457,0.025933546618334816,10.0,54,0.0
502,2026-04-02,2026-05-18,-0.04489531990789099,-0.0063734029584912415,0.026669954465135457,0.025933546618334816,10.0,54,0.0
503,2026-04-03,2026-05-18,-0.03509131981127006,-0.004231115308853964,0.02688333939344045,0.02505646729460841,10.0,55,0.0
504,2026-04-04,2026-05-19,-0.05026183478088831,-0.0004796901208814694,0.02688333939344045,0.02656561885785433,10.0,56,0.0
505,2026-04-06,2026-05-22,-0.07984288751101719,-0.01351624676865267,0.02688333939344045,0.02714791218682485,10.0,57,0.0
507,2026-04-08,2026-05-23,-0.09245031131556249,-0.02897977253977988,0.02688333939344045,0.029597871148089802,10.0,59,0.0
508,2026-04-09,2026-05-25,-0.07317260588965945,0.01626608227850443,0.02688333939344045,0.029597871148089802,10.0,59,0.0
509,2026-04-10,2026-05-25,-0.0682945474362266,0.026171882231186147,0.02812897403667238,0.030745317121999446,10.0,60,0.0
510,2026-04-11,2026-05-26,-0.0580238401163775,0.051811591509305456,0.029374608679904317,0.030236374456255852,10.0,61,0.0
511,2026-04-13,2026-05-28,-0.04478360262697331,0.048676818988522434,0.0331104410329353,0.029606490042329008,10.0,62,0.0
512,2026-04-14,2026-05-29,-0.05957096024533254,0.07042402930315327,0.04100333475240981,0.029413435690086986,10.0,64,0.0
513,2026-04-15,2026-05-30,-0.04744959971298776,0.06527304296920323,0.045160396118853335,0.029940534817718793,10.0,65,0.0
514,2026-04-16,2026-06-01,-0.04768783078571535,0.06726485890883166,0.045160396118853335,0.029940534817718793,10.0,65,0.0
515,2026-04-17,2026-06-01,-0.04523384182414873,0.08136625941628084,0.046331365051928294,0.029469750101536,10.0,66,0.0
516,2026-04-18,2026-06-02,-0.052842481374379933,0.08668074879651083,0.04750233398500326,0.028901487757647053,10.0,67,0.0
517,2026-04-20,2026-06-04,-0.050388492412813145,0.09144395897046398,0.04750233398500326,0.028901487757647053,10.0,67,0.0
518,2026-04-21,2026-06-05,-0.055569851154810765,0.08097094012259107,0.047881486233214005,0.02813943754269968,10.0,69,0.0
523,2026-04-27,2026-06-15,-0.06812217051770744,0.08586672816301111,0.0522815065100411,0.02822884293044625,10.0,73,0.0
524,2026-04-28,2026-06-15,-0.060778196261949045,0.0945616535063446,0.053345980705292714,0.02880785468587902,10.0,75,0.0
525,2026-04-29,2026-06-15,-0.05090157276603702,0.10542808267481474,0.054248900390186386,0.02848283356820444,10.0,76,0.0
526,2026-04-30,2026-06-15,-0.045926438125923175,0.09722040936778133,0.054248900390186386,0.02848283356820444,10.0,76,0.0
527,2026-05-01,2026-06-15,-0.05090157276603702,0.09713500476242892,0.055151820075080064,0.027660640009233847,10.0,77,0.0
528,2026-05-02,2026-06-16,-0.055852077925893195,0.0895207187883636,0.055360835614945425,0.027033364931376695,10.0,78,0.0
529,2026-05-04,2026-06-18,-0.07410797215372185,0.0935600422068074,0.055569851154810786,0.027230542744014076,10.0,79,0.0
530,2026-05-05,2026-06-19,-0.07942713363132178,0.08059638284589146,0.05762911283663642,0.03890387127081714,100.0,81,0.0
531,2026-05-06,2026-06-20,-0.07487366897520546,0.08735102316527608,0.05819721103144401,0.03885424413087884,100.0,82,0.0
532,2026-05-07,2026-06-22,-0.07487366897520546,0.08797920066199838,0.05819721103144401,0.03885424413087884,100.0,82,0.0
533,2026-05-08,2026-06-22,-0.06487358564062216,0.09378492408182112,0.05762911283663642,0.03908619590102887,100.0,83,1.0
534,2026-05-09,2026-06-23,-0.07313963664666322,0.08981887899375555,0.05762911283663642,0.03908619590102887,100.0,83,1.0
535,2026-05-11,2026-06-25,-0.07605236319991024,0.08519305595949403,0.05659948199572361,0.039224502751588265,100.0,84,1.0
536,2026-05-12,2026-06-26,-0.07371757589656756,0.08478093797148632,0.055360835614945425,0.039333854695592835,100.0,86,1.0
537,2026-05-13,2026-06-27,-0.060784891069121855,0.08523615986545295,0.055151820075080064,0.04194436525040162,100.0,87,1.0
538,2026-05-14,2026-06-29,-0.04775443129589999,0.08729262777349403,0.055151820075080064,0.04194436525040162,100.0,87,1.0
