date,call,end,actual_ret,actual_change,actual_direction,signed_ret,signed_change,hit,holding_hurdle_inr,net_hold_change_inr,economic_target,economic_hit,signed_net_value_inr
2024-02-20,-1,2024-02-26,-0.007585371389256612,-300.0,-1.0,0.007585371389256612,300.0,1.0,150.0,-450.0,-1.0,1.0,450.0
2024-02-21,-1,2024-02-26,-0.007585371389256612,-300.0,-1.0,0.007585371389256612,300.0,1.0,150.0,-450.0,-1.0,1.0,450.0
2024-02-22,-1,2024-02-27,-0.007623925110659371,-300.0,-1.0,0.007623925110659371,300.0,1.0,150.0,-450.0,-1.0,1.0,450.0
2024-02-23,-1,2024-02-28,-0.012739025777429714,-500.0,-1.0,0.012739025777429714,500.0,1.0,150.0,-650.0,-1.0,1.0,650.0
2024-02-24,-1,2024-02-29,-0.005089069507471293,-200.0,-1.0,0.005089069507471293,200.0,1.0,150.0,-350.0,-1.0,1.0,350.0
2024-02-26,-1,2024-03-02,-0.005089069507471293,-200.0,-1.0,0.005089069507471293,200.0,1.0,150.0,-350.0,-1.0,1.0,350.0
2024-02-27,-1,2024-03-04,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2024-03-13,-1,2024-03-18,-0.007741974153615397,-300.0,-1.0,0.007741974153615397,300.0,1.0,150.0,-450.0,-1.0,1.0,450.0
2024-03-14,-1,2024-03-19,-0.007741974153615397,-300.0,-1.0,0.007741974153615397,300.0,1.0,150.0,-450.0,-1.0,1.0,450.0
2024-11-20,1,2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-21,1,2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-22,1,2024-11-27,-0.0050505157860685915,-200.0,-1.0,-0.0050505157860685915,-200.0,0.0,150.0,-350.0,-1.0,0.0,-350.0
2024-11-23,1,2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-25,1,2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-26,1,2024-12-02,-0.005076153031860661,-200.0,-1.0,-0.005076153031860661,-200.0,0.0,150.0,-350.0,-1.0,0.0,-350.0
2024-11-27,1,2024-12-02,-0.005076153031860661,-200.0,-1.0,-0.005076153031860661,-200.0,0.0,150.0,-350.0,-1.0,0.0,-350.0
2024-11-28,1,2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-29,1,2024-12-04,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-11-30,1,2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-02,1,2024-12-07,0.005076153031860568,200.0,1.0,0.005076153031860568,200.0,1.0,150.0,50.0,1.0,1.0,50.0
2024-12-04,1,2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-05,1,2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-06,1,2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-07,1,2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-16,1,2024-12-21,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-17,1,2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-18,1,2024-12-23,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2024-12-19,1,2024-12-25,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-01-09,-1,2025-01-15,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-10,-1,2025-01-15,0.005076153031860568,200.0,1.0,-0.005076153031860568,-200.0,0.0,150.0,50.0,1.0,0.0,-50.0
2025-01-11,-1,2025-01-16,0.007623925110659366,300.0,1.0,-0.007623925110659366,-300.0,0.0,150.0,150.0,1.0,0.0,-150.0
2025-01-13,-1,2025-01-18,0.005076153031860568,200.0,1.0,-0.005076153031860568,-200.0,0.0,150.0,50.0,1.0,0.0,-50.0
2025-01-15,-1,2025-01-20,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-16,-1,2025-01-21,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-17,-1,2025-01-22,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-18,-1,2025-01-23,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-20,-1,2025-01-27,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-21,-1,2025-01-27,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-22,-1,2025-01-27,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-23,-1,2025-01-28,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-24,-1,2025-01-29,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-27,-1,2025-02-01,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-01-28,-1,2025-02-03,0.0,0.0,0.0,-0.0,-0.0,0.0,150.0,-150.0,-1.0,1.0,150.0
2025-02-03,-1,2025-02-10,-0.012739025777429714,-500.0,-1.0,0.012739025777429714,500.0,1.0,150.0,-650.0,-1.0,1.0,650.0
2025-02-04,-1,2025-02-10,-0.012739025777429714,-500.0,-1.0,0.012739025777429714,500.0,1.0,150.0,-650.0,-1.0,1.0,650.0
2025-02-05,-1,2025-02-10,-0.012739025777429714,-500.0,-1.0,0.012739025777429714,500.0,1.0,150.0,-650.0,-1.0,1.0,650.0
2025-02-06,-1,2025-02-12,-0.012739025777429714,-500.0,-1.0,0.012739025777429714,500.0,1.0,150.0,-650.0,-1.0,1.0,650.0
2025-03-06,1,2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-07,1,2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-08,1,2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-10,1,2025-03-15,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-11,1,2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-12,1,2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
2025-03-13,1,2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,150.0,-150.0,-1.0,0.0,-150.0
