date,call,end,actual_ret,actual_change,actual_direction,signed_ret,signed_change,hit,holding_hurdle_inr,net_hold_change_inr,economic_target,economic_hit,signed_net_value_inr
2023-12-29,-1,2024-02-27,-0.007623925110659371,-300.0,-1.0,0.007623925110659371,300.0,1.0,1800.0,-2100.0,-1.0,1.0,2100.0
2023-12-30,-1,2024-02-28,-0.01526747213078842,-600.0,-1.0,0.01526747213078842,600.0,1.0,1800.0,-2400.0,-1.0,1.0,2400.0
2024-01-01,-1,2024-03-01,-0.020202707317519466,-800.0,-1.0,0.020202707317519466,800.0,1.0,1800.0,-2600.0,-1.0,1.0,2600.0
2024-01-02,-1,2024-03-02,-0.017699577099400975,-700.0,-1.0,0.017699577099400975,700.0,1.0,1800.0,-2500.0,-1.0,1.0,2500.0
2024-01-03,-1,2024-03-04,-0.012674440896727824,-500.0,-1.0,0.012674440896727824,500.0,1.0,1800.0,-2300.0,-1.0,1.0,2300.0
2024-01-04,-1,2024-03-04,-0.020202707317519466,-800.0,-1.0,0.020202707317519466,800.0,1.0,1800.0,-2600.0,-1.0,1.0,2600.0
2024-01-05,-1,2024-03-05,-0.017699577099400975,-700.0,-1.0,0.017699577099400975,700.0,1.0,1800.0,-2500.0,-1.0,1.0,2500.0
2024-01-06,-1,2024-03-06,-0.010152371464017962,-400.0,-1.0,0.010152371464017962,400.0,1.0,1800.0,-2200.0,-1.0,1.0,2200.0
2024-01-08,-1,2024-03-08,-0.007623925110659371,-300.0,-1.0,0.007623925110659371,300.0,1.0,1800.0,-2100.0,-1.0,1.0,2100.0
2024-01-09,-1,2024-03-09,-0.005089069507471293,-200.0,-1.0,0.005089069507471293,200.0,1.0,1800.0,-2000.0,-1.0,1.0,2000.0
2024-09-18,-1,2024-11-18,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-09-20,-1,2024-11-19,-0.0025284463533586377,-100.0,-1.0,0.0025284463533586377,100.0,1.0,1800.0,-1900.0,-1.0,1.0,1900.0
2024-09-21,-1,2024-11-20,-0.010075651988741587,-400.0,-1.0,0.010075651988741587,400.0,1.0,1800.0,-2200.0,-1.0,1.0,2200.0
2024-09-26,1,2024-11-25,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-09-27,1,2024-11-26,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-09-28,1,2024-11-27,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-09-30,1,2024-11-29,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-10-01,1,2024-11-30,-0.037271394797231655,-1500.0,-1.0,-0.037271394797231655,-1500.0,0.0,1800.0,-3300.0,-1.0,0.0,-3300.0
2024-10-03,1,2024-12-02,-0.042347547829092294,-1700.0,-1.0,-0.042347547829092294,-1700.0,0.0,1800.0,-3500.0,-1.0,0.0,-3500.0
2024-10-04,1,2024-12-04,-0.0445618280599109,-1800.0,-1.0,-0.0445618280599109,-1800.0,0.0,1800.0,-3600.0,-1.0,0.0,-3600.0
2024-10-05,1,2024-12-04,-0.037271394797231655,-1500.0,-1.0,-0.037271394797231655,-1500.0,0.0,1800.0,-3300.0,-1.0,0.0,-3300.0
2024-10-07,1,2024-12-06,-0.0445618280599109,-1800.0,-1.0,-0.0445618280599109,-1800.0,0.0,1800.0,-3600.0,-1.0,0.0,-3600.0
2024-10-08,1,2024-12-07,-0.0445618280599109,-1800.0,-1.0,-0.0445618280599109,-1800.0,0.0,1800.0,-3600.0,-1.0,0.0,-3600.0
2024-10-09,1,2024-12-09,-0.03970744959511269,-1600.0,-1.0,-0.03970744959511269,-1600.0,0.0,1800.0,-3400.0,-1.0,0.0,-3400.0
2024-10-10,1,2024-12-09,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-10-11,1,2024-12-10,-0.02500130220541727,-1000.0,-1.0,-0.02500130220541727,-1000.0,0.0,1800.0,-2800.0,-1.0,0.0,-2800.0
2024-10-14,1,2024-12-13,-0.02500130220541727,-1000.0,-1.0,-0.02500130220541727,-1000.0,0.0,1800.0,-2800.0,-1.0,0.0,-2800.0
2024-10-15,1,2024-12-14,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-10-16,1,2024-12-16,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-10-17,1,2024-12-16,-0.03238140950303983,-1300.0,-1.0,-0.03238140950303983,-1300.0,0.0,1800.0,-3100.0,-1.0,0.0,-3100.0
2024-10-18,1,2024-12-17,-0.02500130220541727,-1000.0,-1.0,-0.02500130220541727,-1000.0,0.0,1800.0,-2800.0,-1.0,0.0,-2800.0
2024-10-19,1,2024-12-18,-0.02500130220541727,-1000.0,-1.0,-0.02500130220541727,-1000.0,0.0,1800.0,-2800.0,-1.0,0.0,-2800.0
2024-10-21,1,2024-12-20,-0.02500130220541727,-1000.0,-1.0,-0.02500130220541727,-1000.0,0.0,1800.0,-2800.0,-1.0,0.0,-2800.0
2024-10-22,1,2024-12-21,-0.012578782206860073,-500.0,-1.0,-0.012578782206860073,-500.0,0.0,1800.0,-2300.0,-1.0,0.0,-2300.0
2024-10-23,1,2024-12-23,-0.0050505157860685915,-200.0,-1.0,-0.0050505157860685915,-200.0,0.0,1800.0,-2000.0,-1.0,0.0,-2000.0
2024-10-24,1,2024-12-23,0.0025348556031881157,100.0,1.0,0.0025348556031881157,100.0,1.0,1800.0,-1700.0,-1.0,0.0,-1700.0
2024-11-11,-1,2025-01-10,-0.03007745523727795,-1200.0,-1.0,0.03007745523727795,1200.0,1.0,1800.0,-3000.0,-1.0,1.0,3000.0
2024-11-12,-1,2025-01-11,-0.03262522731607661,-1300.0,-1.0,0.03262522731607661,1300.0,1.0,1800.0,-3100.0,-1.0,1.0,3100.0
2024-11-13,-1,2025-01-13,-0.022642476749759777,-900.0,-1.0,0.022642476749759777,900.0,1.0,1800.0,-2700.0,-1.0,1.0,2700.0
2024-11-14,-1,2025-01-13,-0.01012666881792916,-400.0,-1.0,0.01012666881792916,400.0,1.0,1800.0,-2200.0,-1.0,1.0,2200.0
2024-11-15,-1,2025-01-15,-0.0050505157860685915,-200.0,-1.0,0.0050505157860685915,200.0,1.0,1800.0,-2000.0,-1.0,1.0,2000.0
2024-11-16,-1,2025-01-15,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-18,-1,2025-01-17,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-19,-1,2025-01-18,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-20,-1,2025-01-20,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-21,-1,2025-01-20,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-22,-1,2025-01-21,-0.0050505157860685915,-200.0,-1.0,0.0050505157860685915,200.0,1.0,1800.0,-2000.0,-1.0,1.0,2000.0
2024-11-23,-1,2025-01-22,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
2024-11-27,-1,2025-01-27,0.0,0.0,0.0,-0.0,-0.0,0.0,1800.0,-1800.0,-1.0,1.0,1800.0
