date,call,end,actual_ret,actual_change,actual_direction,signed_ret,signed_change,hit,holding_hurdle_inr,net_hold_change_inr,economic_target,economic_hit,signed_net_value_inr
2024-03-13,-1,2024-06-14,0.1254655318283997,5200.0,1.0,-0.1254655318283997,-5200.0,0.0,2700.0,2500.0,1.0,0.0,-2500.0
2024-11-20,1,2025-02-18,-0.030850775720475933,-1200.0,-1.0,-0.030850775720475933,-1200.0,0.0,2700.0,-3900.0,-1.0,0.0,-3900.0
2024-11-21,1,2025-02-19,-0.030850775720475933,-1200.0,-1.0,-0.030850775720475933,-1200.0,0.0,2700.0,-3900.0,-1.0,0.0,-3900.0
2024-11-22,1,2025-02-20,-0.03590129150654442,-1400.0,-1.0,-0.03590129150654442,-1400.0,0.0,2700.0,-4100.0,-1.0,0.0,-4100.0
2024-11-23,1,2025-02-21,-0.030850775720475933,-1200.0,-1.0,-0.030850775720475933,-1200.0,0.0,2700.0,-3900.0,-1.0,0.0,-3900.0
2024-11-25,1,2025-02-24,-0.02824321231339505,-1100.0,-1.0,-0.02824321231339505,-1100.0,0.0,2700.0,-3800.0,-1.0,0.0,-3800.0
2024-11-26,1,2025-02-24,-0.02824321231339505,-1100.0,-1.0,-0.02824321231339505,-1100.0,0.0,2700.0,-3800.0,-1.0,0.0,-3800.0
2024-11-27,1,2025-02-25,-0.02564243061333767,-1000.0,-1.0,-0.02564243061333767,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2024-11-28,1,2025-02-26,-0.02564243061333767,-1000.0,-1.0,-0.02564243061333767,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2024-11-29,1,2025-02-27,-0.02564243061333767,-1000.0,-1.0,-0.02564243061333767,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2024-11-30,1,2025-02-28,-0.02564243061333767,-1000.0,-1.0,-0.02564243061333767,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2024-12-02,1,2025-03-03,-0.02056627758147697,-800.0,-1.0,-0.02056627758147697,-800.0,0.0,2700.0,-3500.0,-1.0,0.0,-3500.0
