date,call,end,actual_ret,actual_change,actual_direction,signed_ret,signed_change,hit,holding_hurdle_inr,net_hold_change_inr,economic_target,economic_hit,signed_net_value_inr
2024-12-23,1,2025-03-24,-0.005076153031860661,-200.0,-1.0,-0.005076153031860661,-200.0,0.0,2700.0,-2900.0,-1.0,0.0,-2900.0
2024-12-25,1,2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,-2700.0,-1.0,0.0,-2700.0
2024-12-26,1,2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,-2700.0,-1.0,0.0,-2700.0
2024-12-30,1,2025-03-31,0.01007565198874164,400.0,1.0,0.01007565198874164,400.0,1.0,2700.0,-2300.0,-1.0,0.0,-2300.0
2024-12-31,1,2025-03-31,0.01007565198874164,400.0,1.0,0.01007565198874164,400.0,1.0,2700.0,-2300.0,-1.0,0.0,-2300.0
2025-01-01,1,2025-04-01,0.015075662405447396,600.0,1.0,0.015075662405447396,600.0,1.0,2700.0,-2100.0,-1.0,0.0,-2100.0
2025-01-02,1,2025-04-02,0.015075662405447396,600.0,1.0,0.015075662405447396,600.0,1.0,2700.0,-2100.0,-1.0,0.0,-2100.0
2025-01-03,1,2025-04-03,0.022529113060028104,900.0,1.0,0.022529113060028104,900.0,1.0,2700.0,-1800.0,-1.0,0.0,-1800.0
2025-01-04,1,2025-04-04,0.025001302205417186,1000.0,1.0,0.025001302205417186,1000.0,1.0,2700.0,-1700.0,-1.0,0.0,-1700.0
2025-01-06,1,2025-04-07,0.022529113060028104,900.0,1.0,0.022529113060028104,900.0,1.0,2700.0,-1800.0,-1.0,0.0,-1800.0
2025-01-07,1,2025-04-07,0.022529113060028104,900.0,1.0,0.022529113060028104,900.0,1.0,2700.0,-1800.0,-1.0,0.0,-1800.0
2025-01-08,1,2025-04-08,0.015075662405447396,600.0,1.0,0.015075662405447396,600.0,1.0,2700.0,-2100.0,-1.0,0.0,-2100.0
2025-02-26,1,2025-05-27,-0.0026007817000573675,-100.0,-1.0,-0.0026007817000573675,-100.0,0.0,2700.0,-2800.0,-1.0,0.0,-2800.0
2025-02-27,1,2025-05-28,-0.010443959161083262,-400.0,-1.0,-0.010443959161083262,-400.0,0.0,2700.0,-3100.0,-1.0,0.0,-3100.0
2025-02-28,1,2025-05-29,-0.01570712920535788,-600.0,-1.0,-0.01570712920535788,-600.0,0.0,2700.0,-3300.0,-1.0,0.0,-3300.0
2025-03-01,1,2025-05-30,-0.02099814683977347,-800.0,-1.0,-0.02099814683977347,-800.0,0.0,2700.0,-3500.0,-1.0,0.0,-3500.0
2025-03-03,1,2025-06-02,-0.026317308317373417,-1000.0,-1.0,-0.026317308317373417,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2025-03-05,1,2025-06-03,-0.026317308317373417,-1000.0,-1.0,-0.026317308317373417,-1000.0,0.0,2700.0,-3700.0,-1.0,0.0,-3700.0
2025-03-06,1,2025-06-04,-0.028911343494420035,-1100.0,-1.0,-0.028911343494420035,-1100.0,0.0,2700.0,-3800.0,-1.0,0.0,-3800.0
2025-03-07,1,2025-06-06,-0.028911343494420035,-1100.0,-1.0,-0.028911343494420035,-1100.0,0.0,2700.0,-3800.0,-1.0,0.0,-3800.0
2025-03-08,1,2025-06-06,-0.028911343494420035,-1100.0,-1.0,-0.028911343494420035,-1100.0,0.0,2700.0,-3800.0,-1.0,0.0,-3800.0
