horizon,model,raw_oos_n,nonoverlap_n,first_oos_origin,last_oos_origin,mae_log,zero_mae_log,median_baseline_mae_log,mae_skill_zero_log,mae_skill_zero_pct,mae_skill_zero_ci_low,mae_skill_zero_ci_high,mae_skill_zero_boot_se,median_ae_log,rmse_log,oos_r2_vs_zero,nonoverlap_mae_skill_zero_log,brier,frequency_brier,brier_skill_frequency,brier_skill_frequency_ci_low,brier_skill_frequency_ci_high,brier_skill_frequency_boot_se,log_loss,frequency_log_loss,accuracy,majority_accuracy,accuracy_edge_majority,balanced_accuracy,macro_f1,mcc,down_precision,flat_precision,up_precision,down_recall,flat_recall,up_recall,confusion_json,time_third_skill_min,time_third_skill_median,phase_count_n_ge_2,phase_skill_median,phase_skill_min,phase_skill_positive_share,pti_call_n,pti_call_coverage,pti_call_hit,pti_call_mean_signed_rupee,block_length_origins
5,baseline,31,31,2025-08-12,2026-07-27,0.012232233330296551,0.012232233330296551,0.012394863281894306,0.0,0.0,0.0,0.0,0.0,0.010781775603288362,0.015145543764827492,0.0,0.0,0.618496644933505,0.618496644933505,0.0,0.0,0.0,0.0,1.0187068016165652,1.0187068016165652,0.45161290322580644,0.45161290322580644,0.0,0.39999999999999997,0.45238095238095244,0.04896716336227008,0.48148148148148145,0.25,,0.8666666666666667,0.3333333333333333,0.0,"[[13, 2, 0], [2, 1, 0], [12, 1, 0]]",0.0,0.0,5,0.0,0.0,0.0,0,0.0,,,3
5,internal,31,31,2025-08-12,2026-07-27,0.013348404267352466,0.012232233330296551,0.012394863281894306,-0.0011161709370559171,-0.09124833600838918,-0.0027958517827540524,0.0006314542598101801,0.0008336777877342739,0.011586058183266208,0.016286634036902135,-0.1563596663100546,-0.0011161709370559152,0.646432053512608,0.618496644933505,-0.0279354085791029,-0.12978161986126852,0.07302496138149538,0.052172609034774414,0.995038492252262,1.0187068016165652,0.4838709677419355,0.45161290322580644,0.03225806451612906,0.3333333333333333,0.6666666666666666,0.0655825835783953,0.5,0.0,,1.0,0.0,0.0,"[[15, 0, 0], [3, 0, 0], [12, 1, 0]]",-0.002393789929475356,-0.0011020788476620385,5,-0.0002508645696774406,-0.005888702890042943,0.4,0,0.0,,,3
5,local,31,31,2025-08-12,2026-07-27,0.012998811127091224,0.012232233330296551,0.012394863281894306,-0.0007665777967946732,-0.0626686702334257,-0.002405283066419094,0.001059876903190406,0.000905718580574933,0.010418586409333113,0.015875767514779322,-0.09875210572812776,-0.0007665777967946728,0.6324144767142658,0.618496644933505,-0.013917831780760425,-0.11997448485523987,0.0957009070536834,0.053277497895643754,0.9953884391409211,1.0187068016165652,0.5161290322580645,0.45161290322580644,0.06451612903225806,0.358974358974359,0.4123376623376624,0.17536964007935837,0.5172413793103449,0.0,1.0,1.0,0.0,0.07692307692307693,"[[15, 0, 0], [3, 0, 0], [11, 1, 1]]",-0.001650905310227397,-0.00037298020568382747,5,0.0007424474803210358,-0.005480977560624255,0.6,0,0.0,,,3
5,turkey,31,31,2025-08-12,2026-07-27,0.013130550351866555,0.012232233330296551,0.012394863281894306,-0.0008983170215700048,-0.0734385126013801,-0.002363037766856557,0.0009676205324998373,0.000860576128575275,0.012941643496712967,0.01599101841545605,-0.11476289901572723,-0.0008983170215700036,0.634761035138593,0.618496644933505,-0.016264390205088065,-0.10962473822743922,0.08509565250044937,0.050007152546417036,0.9897177047559186,1.0187068016165652,0.4838709677419355,0.45161290322580644,0.03225806451612906,0.3367521367521367,0.3848484848484849,0.01572222102121927,0.4827586206896552,,0.5,0.9333333333333333,0.0,0.07692307692307693,"[[14, 0, 1], [3, 0, 0], [12, 0, 1]]",-0.0021786894149615622,-0.0013958643380609617,5,-0.0002708806446916484,-0.004287527257859929,0.4,0,0.0,,,3
5,combined,31,31,2025-08-12,2026-07-27,0.013114816949124924,0.012232233330296551,0.012394863281894306,-0.0008825836188283745,-0.0721522877300263,-0.0026290982541608745,0.0010778571764021212,0.0009525272153947795,0.009549373393452024,0.016021057562375682,-0.1189549995903123,-0.0008825836188283732,0.632998854853044,0.618496644933505,-0.014502209919538848,-0.12690002517985366,0.1062048950273939,0.05920962450749627,1.0020795903954443,1.0187068016165652,0.4838709677419355,0.45161290322580644,0.03225806451612906,0.34017094017094013,0.427170868347339,0.02304337099400945,0.48148148148148145,,0.5,0.8666666666666667,0.0,0.15384615384615385,"[[13, 0, 2], [3, 0, 0], [11, 0, 2]]",-0.0025432336095535493,-0.0006419942424919299,5,0.0006194702840632421,-0.005413884224787292,0.6,0,0.0,,,3
5,nonlinear,31,31,2025-08-12,2026-07-27,0.012980728076092723,0.012232233330296551,0.012394863281894306,-0.0007484947457961732,-0.06119035875013244,-0.0024588444019052733,0.001199634173378547,0.0009547300339221313,0.009501275522693513,0.015945761995359662,-0.10846201349917495,-0.0007484947457961719,0.6260236218525936,0.618496644933505,-0.007526976919088392,-0.12164742893471196,0.09939224679966849,0.05594865307914103,1.0011652535123732,1.0187068016165652,0.45161290322580644,0.45161290322580644,0.0,0.3145299145299145,0.3648255813953488,-0.08165227100725214,0.4642857142857143,,0.3333333333333333,0.8666666666666667,0.0,0.07692307692307693,"[[13, 0, 2], [3, 0, 0], [12, 0, 1]]",-0.0027217475969183347,0.00016739119909454873,5,0.0004957268933190734,-0.0040006480014530815,0.6,0,0.0,,,3
10,baseline,31,20,2025-08-12,2026-07-27,0.02047933650567367,0.02047933650567367,0.021228357818910932,0.0,0.0,0.0,0.0,0.0,0.017341475036487173,0.027738248841087814,0.0,0.0,0.6071926719706929,0.6071926719706929,0.0,0.0,0.0,0.0,0.9847682520660815,0.9847682520660815,0.3870967741935484,0.3870967741935484,0.0,0.2841269841269841,0.32092426187419765,-0.19397004436111454,0.4074074074074074,,0.25,0.7857142857142857,0.0,0.06666666666666667,"[[11, 0, 3], [2, 0, 0], [14, 0, 1]]",0.0,0.0,7,0.0,0.0,0.0,0,0.0,,,3
10,internal,31,20,2025-08-12,2026-07-27,0.024373818756641324,0.02047933650567367,0.021228357818910932,-0.003894482250967653,-0.19016642701723815,-0.007470740083637916,-0.0002209016193239913,0.0018669061578999039,0.02191278953587032,0.031370766670942615,-0.2790637339222939,-0.005193901404580856,0.6822715039417536,0.6071926719706929,-0.07507883197106072,-0.18414175819997208,0.04989428164334653,0.06355508685825145,1.0804158000646076,0.9847682520660815,0.3548387096774194,0.3870967741935484,-0.032258064516129004,0.2619047619047619,0.5238095238095237,-0.3199147007848367,0.39285714285714285,,0.0,0.7857142857142857,0.0,0.0,"[[11, 0, 3], [2, 0, 0], [15, 0, 0]]",-0.004797144411730233,-0.00363400831679367,7,-0.002724152302803061,-0.01050643987993383,0.14285714285714285,0,0.0,,,3
10,local,31,20,2025-08-12,2026-07-27,0.023575280461547356,0.02047933650567367,0.021228357818910932,-0.003095943955873691,-0.15117403608344337,-0.007346321045830677,0.00017480792496045198,0.0019203032443641985,0.01959987807884218,0.029667319820879147,-0.1439276224559134,-0.0028093187725823886,0.5971828306977406,0.6071926719706929,0.010009841272952253,-0.12531797473772438,0.1315014787202455,0.06657412878534996,0.9979720640743727,0.9847682520660815,0.5483870967741935,0.3870967741935484,0.16129032258064513,0.3968253968253968,0.5417156286721504,0.19138708224391157,0.5217391304347826,,0.625,0.8571428571428571,0.0,0.3333333333333333,"[[12, 0, 2], [1, 0, 1], [10, 0, 5]]",-0.0035897467079684456,-0.0033159963932661266,7,-0.000872161419814518,-0.00977851221966659,0.14285714285714285,0,0.0,,,3
10,turkey,31,20,2025-08-12,2026-07-27,0.022848849688871548,0.02047933650567367,0.021228357818910932,-0.0023695131831978794,-0.11570263433785663,-0.0050969564530270964,0.0009609528961705319,0.001593935658939071,0.020038371600072012,0.03017713302781593,-0.1835807003065446,-0.003473191494804191,0.6599939202362969,0.6071926719706929,-0.05280124826560401,-0.15377944302599297,0.06686466277037059,0.05655605653507358,1.0673867439433575,0.9847682520660815,0.3870967741935484,0.3870967741935484,0.0,0.2857142857142857,0.5581395348837208,-0.2566661430860928,0.41379310344827586,,0.0,0.8571428571428571,0.0,0.0,"[[12, 0, 2], [2, 0, 0], [15, 0, 0]]",-0.003206601893855055,-0.002896117505976855,7,-0.001646759630463842,-0.007994900835142649,0.14285714285714285,0,0.0,,,3
