as_of,horizon,model,current_price,provisional_credit_cost_rupee_per_mt_day,holding_hurdle_rupee,loading_charge_rupee_per_mt_reference,predicted_log_return,predicted_pct,predicted_price,lower80_price,upper80_price,prob_down,prob_flat,prob_up,predicted_class,class_confidence,train_raw_n,train_nonoverlap_n,oos_raw_n,oos_nonoverlap_n,oos_mae_skill_zero_log,oos_mae_skill_ci_low,mae_max_null_adjusted_p,direction_max_null_adjusted_p,phase_skill_positive_share,alpha_magnitude,alpha_class,turkey_date,turkey_symbol,turkey_age,local_date,local_age,proposed_signal_before_evidence_gates,decision,no_call_reasons
2026-08-11,5,baseline,38500.0,30.0,150.0,50.0,0.0,0.0,38500.0,37841.12819391593,39170.34376999138,0.4099099099099099,0.20270270270270271,0.38738738738738737,-1,0.4099099099099099,219,63,31,31,0.0,0.0,,,0.0,,,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,baseline model; MAE skill CI includes zero; phase stability<60% positive; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,internal,38500.0,30.0,150.0,50.0,-0.001318801899829837,-0.0013179326627634955,38449.259592483606,37756.642636724595,39154.58208067092,0.4549244360571665,0.1588622466787146,0.38621331726411895,-1,0.4549244360571665,219,63,31,31,-0.0011161709370559171,-0.0027958517827540524,1.0,1.0,0.4,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,local,38500.0,30.0,150.0,50.0,-0.0002523727424329687,-0.00025234089911125896,38490.28487538421,37816.638186255266,39175.93156989544,0.4296018492529087,0.126007049866665,0.4443911008804262,1,0.4443911008804262,219,63,31,31,-0.0007665777967946732,-0.002405283066419094,1.0,1.0,0.6,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,turkey,38500.0,30.0,150.0,50.0,-0.004996011852982826,-0.004983552543353738,38308.133227080885,37665.82733973939,38961.392195293054,0.5064198991770926,0.21642350255911777,0.27715659826378947,-1,0.5064198991770926,219,63,31,31,-0.0008983170215700048,-0.002363037766856557,1.0,1.0,0.4,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,combined,38500.0,30.0,150.0,50.0,-0.003626200064793444,-0.003619633341154361,38360.644116365555,37719.249702161396,39012.94507822962,0.47608087448696984,0.18930945112169603,0.3346096743913341,-1,0.47608087448696984,219,63,31,31,-0.0008825836188283745,-0.0026290982541608745,1.0,1.0,0.6,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,nonlinear,38500.0,30.0,150.0,50.0,-0.0035169911482841217,-0.0035108137789552993,38364.83366951022,37721.68206518099,39018.95095626678,0.47619037825870714,0.19827417179251416,0.3255354499487786,-1,0.47619037825870714,219,63,31,31,-0.0007484947457961732,-0.0024588444019052733,1.0,1.0,0.6,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,10,baseline,38500.0,30.0,300.0,50.0,0.0,0.0,38500.0,37454.951269001256,39574.207141653686,0.43636363636363634,0.1318181818181818,0.4318181818181818,-1,0.43636363636363634,217,39,31,20,0.0,0.0,,,0.0,,,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,baseline model; MAE skill CI includes zero; phase stability<60% positive; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,internal,38500.0,30.0,300.0,50.0,3.5735943891866444e-06,3.5736007744826796e-06,38500.13758362982,37527.76740585707,39497.70253924257,0.4522620338938243,0.1447859493287819,0.4029520167773939,-1,0.4522620338938243,217,39,31,20,-0.003894482250967653,-0.007470740083637916,1.0,1.0,0.14285714285714285,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,local,38500.0,30.0,300.0,50.0,0.0036257604003316945,0.00363234142090282,38639.845144704756,37600.41087734033,39708.0137681829,0.39136353715773053,0.11383016692557275,0.49480629591669667,1,0.49480629591669667,217,39,31,20,-0.003095943955873691,-0.007346321045830677,1.0,1.0,0.14285714285714285,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,turkey,38500.0,30.0,300.0,50.0,-0.006785570832286517,-0.0067626008307493275,38239.63986801615,37284.17524907517,39219.58974462877,0.4763090987237081,0.2212763515687804,0.3024145497075115,-1,0.4763090987237081,217,39,31,20,-0.0023695131831978794,-0.0050969564530270964,1.0,1.0,0.14285714285714285,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
