horizon,model,oos_n,called_n,coverage,hit_rate,mean_signed_rupee,median_signed_rupee
5,baseline,31,0,0.0,,,
5,internal,31,0,0.0,,,
5,local,31,0,0.0,,,
5,turkey,31,0,0.0,,,
5,combined,31,0,0.0,,,
5,nonlinear,31,0,0.0,,,
10,baseline,31,0,0.0,,,
10,internal,31,0,0.0,,,
10,local,31,0,0.0,,,
10,turkey,31,0,0.0,,,
10,combined,31,0,0.0,,,
10,nonlinear,31,0,0.0,,,
15,baseline,30,0,0.0,,,
15,internal,30,0,0.0,,,
15,local,30,0,0.0,,,
15,turkey,30,0,0.0,,,
15,combined,30,0,0.0,,,
15,nonlinear,30,0,0.0,,,
30,baseline,27,0,0.0,,,
30,internal,27,0,0.0,,,
30,local,27,0,0.0,,,
30,turkey,27,0,0.0,,,
30,combined,27,0,0.0,,,
30,nonlinear,27,0,0.0,,,
45,baseline,27,0,0.0,,,
45,internal,27,0,0.0,,,
45,local,27,0,0.0,,,
45,turkey,27,0,0.0,,,
45,combined,27,0,0.0,,,
45,nonlinear,27,0,0.0,,,
60,baseline,22,0,0.0,,,
60,internal,22,0,0.0,,,
60,local,22,0,0.0,,,
60,turkey,22,0,0.0,,,
60,combined,22,0,0.0,,,
60,nonlinear,22,0,0.0,,,
90,baseline,19,0,0.0,,,
90,internal,19,0,0.0,,,
90,local,19,0,0.0,,,
90,turkey,19,0,0.0,,,
90,combined,19,0,0.0,,,
90,nonlinear,19,0,0.0,,,
