horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
5,baseline,0,7,0.0,0.0,0.8571428571428571
5,baseline,1,5,0.0,0.0,0.2
5,baseline,2,8,0.0,0.0,0.125
5,baseline,3,4,0.0,0.0,0.5
5,baseline,4,7,0.0,0.0,0.5714285714285714
5,internal,0,7,-0.0002508645696774406,0.08145272876621107,0.7142857142857143
5,internal,1,5,-0.005888702890042943,-0.34820400488956205,0.2
5,internal,2,8,-0.0013854575682348443,-0.07953494006739736,0.25
5,internal,3,4,0.001322902624931479,0.030706429921626976,0.5
5,internal,4,7,0.0003414739193394554,0.11690100828354488,0.7142857142857143
5,local,0,7,0.000845958155568198,0.10947475824510783,0.7142857142857143
5,local,1,5,-0.005480977560624255,-0.27066336956964065,0.2
5,local,2,8,-0.0023299496169909596,-0.170486677634893,0.25
5,local,3,4,0.0027904333967973694,0.09336654354990404,0.75
5,local,4,7,0.0007424474803210358,0.16370971454405742,0.7142857142857143
5,turkey,0,7,-0.0002708806446916484,0.09807649571478266,0.7142857142857143
5,turkey,1,5,-0.004287527257859929,-0.26636706906950447,0.2
5,turkey,2,8,-0.00166210205282602,-0.07204133821372027,0.25
5,turkey,3,4,0.0004792948184045168,-0.026457228969964164,0.5
5,turkey,4,7,0.0009808014689230218,0.1176090572251332,0.7142857142857143
5,combined,0,7,0.0006194702840632421,0.15521529687082652,0.7142857142857143
5,combined,1,5,-0.005413884224787292,-0.29502003149736056,0.2
5,combined,2,8,-0.002816275034858654,-0.14438198743156017,0.375
5,combined,3,4,0.0018414537924871122,0.0095097875836343,0.5
5,combined,4,7,0.0015053460086764175,0.15086304585760818,0.5714285714285714
5,nonlinear,0,7,0.0004957268933190734,0.12221155489050345,0.7142857142857143
5,nonlinear,1,5,-0.0040006480014530815,-0.20154748147550694,0.2
5,nonlinear,2,8,-0.0028777626329049774,-0.1516962648515321,0.25
5,nonlinear,3,4,0.0019174933457257078,0.022875349375932497,0.5
5,nonlinear,4,7,0.0012402774735267887,0.14871270856582797,0.5714285714285714
10,baseline,0,3,0.0,0.0,0.0
10,baseline,1,4,0.0,0.0,0.25
10,baseline,2,7,0.0,0.0,0.42857142857142855
10,baseline,3,1,0.0,0.0,1.0
10,baseline,4,4,0.0,0.0,0.75
10,baseline,5,4,0.0,0.0,0.5
10,baseline,6,1,0.0,0.0,0.0
10,baseline,7,1,0.0,0.0,0.0
10,baseline,8,3,0.0,0.0,0.3333333333333333
10,baseline,9,3,0.0,0.0,0.3333333333333333
10,internal,0,3,0.00035024123097302656,-0.006430547267316733,0.3333333333333333
