horizon,candidate,reference,same_origin_n,candidate_mae_improvement_log,candidate_brier_improvement
5,local,internal,31,0.0003495931402612438,0.014017576798342465
5,turkey,internal,31,0.00021785391548591237,0.011671018374014835
5,combined,internal,31,0.0002335873182275424,0.013433198659564043
5,nonlinear,internal,31,0.00036767619125974393,0.020408431660014492
10,local,internal,31,0.0007985382950939616,0.08508867324401297
10,turkey,internal,31,0.0015249690677697737,0.022277583705456676
10,combined,internal,31,0.0018970083775510349,0.0967898086648176
10,nonlinear,internal,31,0.0024252461348671693,0.10367831594249764
15,local,internal,30,0.00219032115520898,0.0777983867647895
15,turkey,internal,30,0.001715432970477337,0.003814643374627539
15,combined,internal,30,0.005859611531045913,0.08113829060845784
15,nonlinear,internal,30,0.0053385195367879655,0.07726718134584051
30,local,internal,27,0.006603116295455129,0.09848720613172536
30,turkey,internal,27,-1.2471702016463232e-05,0.044120779002215206
30,combined,internal,27,0.006336539802988237,0.12767467187815293
30,nonlinear,internal,27,0.004283471037707341,0.09820902180857154
45,local,internal,27,0.003674805398717145,-0.05125945188500932
45,turkey,internal,27,0.004189843857981212,0.13035228382426484
45,combined,internal,27,0.009205941782690434,0.05334460640813748
45,nonlinear,internal,27,0.004622244379004951,0.016666291991706664
60,local,internal,22,-0.00478644203490184,-0.10332704890289693
60,turkey,internal,22,0.008638250257184742,0.1360351471484105
60,combined,internal,22,0.002571790955856526,0.04410215393630332
60,nonlinear,internal,22,0.005913963282547689,0.017689233040892594
90,local,internal,19,0.015629084333461097,0.06625219434632977
90,turkey,internal,19,-0.001810627880451189,0.002421979505326749
90,combined,internal,19,0.0025087900960385433,0.09804624781158633
90,nonlinear,internal,19,-0.0018473434073721044,-0.02576579621334928
