as_of,horizon,model,current_price,provisional_credit_cost_rupee_per_mt_day,holding_hurdle_rupee,loading_charge_rupee_per_mt_reference,predicted_log_return,predicted_pct,predicted_price,lower80_price,upper80_price,prob_down,prob_flat,prob_up,predicted_class,class_confidence,train_raw_n,train_nonoverlap_n,oos_raw_n,oos_nonoverlap_n,oos_mae_skill_zero_log,oos_mae_skill_ci_low,mae_max_null_adjusted_p,direction_max_null_adjusted_p,phase_skill_positive_share,alpha_magnitude,alpha_class,turkey_date,turkey_symbol,turkey_age,local_date,local_age,proposed_signal_before_evidence_gates,decision,no_call_reasons
2026-08-11,5,baseline,38500.0,30.0,150.0,50.0,0.0,0.0,38500.0,37793.759959791954,39219.43732449318,0.40415704387990764,0.20554272517321015,0.3903002309468822,-1,0.40415704387990764,430,108,67,67,0.0,0.0,,,0.0,,,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,baseline model; MAE skill CI includes zero; phase stability<60% positive; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,internal,38500.0,30.0,150.0,50.0,-0.001102529421463591,-0.0011019218592065957,38457.57600842055,37747.66484080494,39180.83830300071,0.43998792977958046,0.16659976947536814,0.3934123007450514,-1,0.43998792977958046,430,108,67,67,-0.000705864047971131,-0.001415484481386503,1.0,0.9517470881863561,0.0,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,local,38500.0,30.0,150.0,50.0,0.00020552887512222465,0.00020554999762854934,38507.9136749087,37784.89141809056,39244.771122572565,0.42037240715247404,0.12821848568273173,0.45140910716479415,1,0.45140910716479415,430,108,67,67,-0.0008437277123965388,-0.0016216286272381555,1.0,0.5357737104825291,0.0,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,turkey,38500.0,30.0,150.0,50.0,-0.0027290529266027486,-0.0027253324468962175,38395.074700794496,37712.94697916321,39089.54031341253,0.48095970088108714,0.19610203641455806,0.3229382627043548,-1,0.48095970088108714,430,108,67,67,-0.0006142290666332473,-0.0014903852452188315,1.0,0.9234608985024958,0.2,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,combined,38500.0,30.0,150.0,50.0,-0.0014467852398340408,-0.00144573915061857,38444.339042701184,37756.51532478458,39144.69308718154,0.4609955495451073,0.16013902235531965,0.378865428099573,-1,0.4609955495451073,430,108,67,67,-0.0007581207230869164,-0.0016145456921051792,1.0,0.8103161397670549,0.2,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,5,nonlinear,38500.0,30.0,150.0,50.0,-0.001959539729225108,-0.0019576210846745943,38424.63158824003,37737.11577845146,39124.67294427024,0.48717026233331023,0.16727689163550558,0.3455528460311841,-1,0.48717026233331023,430,108,67,67,-0.0007972816210196823,-0.0017633512608428489,1.0,0.7454242928452579,0.2,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs150
2026-08-11,10,baseline,38500.0,30.0,300.0,50.0,0.0,0.0,38500.0,37519.9554171389,39505.64395721314,0.46604215456674475,0.09836065573770492,0.43559718969555034,-1,0.46604215456674475,424,58,67,34,0.0,0.0,,,0.0,,,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,baseline model; MAE skill CI includes zero; phase stability<60% positive; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,internal,38500.0,30.0,300.0,50.0,-0.0024605672392752956,-0.002457542525051979,38405.3846127855,37414.037226031425,39422.99940381051,0.4862214381483048,0.10249346604095763,0.41128509581073763,-1,0.4862214381483048,424,58,67,34,-0.0009566426128680628,-0.0024885464842468426,1.0,1.0,0.3,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,local,38500.0,30.0,300.0,50.0,0.00020338489422154553,0.00020340557833139905,38507.83111476576,37520.354176059074,39521.29689941729,0.4476517385449372,0.07448476866545638,0.4778634927896065,1,0.4778634927896065,424,58,67,34,-0.00130620745216525,-0.00291244230346188,1.0,1.0,0.1,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
2026-08-11,10,turkey,38500.0,30.0,300.0,50.0,-0.003458286319995224,-0.0034523133352739994,38367.08593659195,37414.33318803468,39344.10045123019,0.46709295283783625,0.1598987057479148,0.37300834141424904,-1,0.46709295283783625,424,58,67,34,-0.0015664609801825837,-0.0031292069488544163,1.0,1.0,0.1,100.0,100.0,2026-08-10,IS7Q26,1.0,2026-08-10,1.0,NO CALL,NO CALL,MAE skill CI includes zero; MAE max-null adjusted p>0.10; direction max-null adjusted p>0.10; phase stability<60% positive; negative time-third skill; class confidence<0.50; 80% interval/class does not clear holding hurdle Rs300
