horizon,model,oos_n,called_n,coverage,hit_rate,mean_signed_rupee,median_signed_rupee
5,baseline,67,0,0.0,,,
5,internal,67,0,0.0,,,
5,local,67,0,0.0,,,
5,turkey,67,0,0.0,,,
5,combined,67,0,0.0,,,
5,nonlinear,67,0,0.0,,,
10,baseline,67,0,0.0,,,
10,internal,67,0,0.0,,,
10,local,67,0,0.0,,,
10,turkey,67,0,0.0,,,
10,combined,67,0,0.0,,,
10,nonlinear,67,0,0.0,,,
15,baseline,64,0,0.0,,,
15,internal,64,0,0.0,,,
15,local,64,0,0.0,,,
15,turkey,64,0,0.0,,,
15,combined,64,0,0.0,,,
15,nonlinear,64,0,0.0,,,
30,baseline,60,0,0.0,,,
30,internal,60,0,0.0,,,
30,local,60,0,0.0,,,
30,turkey,60,0,0.0,,,
30,combined,60,0,0.0,,,
30,nonlinear,60,0,0.0,,,
45,baseline,57,0,0.0,,,
45,internal,57,0,0.0,,,
45,local,57,0,0.0,,,
45,turkey,57,0,0.0,,,
45,combined,57,0,0.0,,,
45,nonlinear,57,0,0.0,,,
60,baseline,52,0,0.0,,,
60,internal,52,0,0.0,,,
60,local,52,0,0.0,,,
60,turkey,52,0,0.0,,,
60,combined,52,0,0.0,,,
60,nonlinear,52,0,0.0,,,
90,baseline,45,0,0.0,,,
90,internal,45,0,0.0,,,
90,local,45,0,0.0,,,
90,turkey,45,0,0.0,,,
90,combined,45,0,0.0,,,
90,nonlinear,45,0,0.0,,,
