horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
5,baseline,0,11,0.0,0.0,0.45454545454545453
5,baseline,1,13,0.0,0.0,0.3076923076923077
5,baseline,2,16,0.0,0.0,0.25
5,baseline,3,11,0.0,0.0,0.2727272727272727
5,baseline,4,16,0.0,0.0,0.5
5,internal,0,11,-0.00027025876287633047,0.051636708937643494,0.45454545454545453
5,internal,1,13,-0.0012618184616809656,-0.022722306567217743,0.3076923076923077
5,internal,2,16,-0.0002816971367503064,0.015801876775455637,0.25
5,internal,3,11,-0.000994446077020695,0.01962365591283899,0.2727272727272727
5,internal,4,16,-0.0007793964865838183,0.02123844122873142,0.375
5,local,0,11,-0.0007645746349572314,0.03556553843951393,0.45454545454545453
5,local,1,13,-0.0011541038821693845,0.0559465234767641,0.5384615384615384
5,local,2,16,-0.0003415172753428869,0.029605284748291716,0.3125
5,local,3,11,-0.0013716076887268728,-0.009616331261718125,0.2727272727272727
5,local,4,16,-0.0007852577685221775,0.06942282574222958,0.375
5,turkey,0,11,0.00040427649974894564,0.13871985815674182,0.5454545454545454
5,turkey,1,13,-0.001587940228471892,-0.07523521351623552,0.38461538461538464
5,turkey,2,16,-0.0007571217140312503,-0.025553638518054478,0.1875
5,turkey,3,11,-0.001108201562399944,0.092254391522816,0.5454545454545454
5,turkey,4,16,-4.08125862895025e-05,0.03647112608629355,0.4375
5,combined,0,11,-0.0001912306938618557,0.10710307986411638,0.5454545454545454
5,combined,1,13,-0.0016177471209795243,-0.0008697547385723148,0.38461538461538464
5,combined,2,16,-0.0008239173046328471,-0.051925276603992376,0.3125
5,combined,3,11,-0.0014077607449195177,0.0560867989106808,0.45454545454545453
5,combined,4,16,6.301292666443734e-05,0.10169464331477185,0.625
5,nonlinear,0,11,-0.00016152032321583437,0.09332273189327656,0.5454545454545454
5,nonlinear,1,13,-0.0014070381612867298,0.035853385935647464,0.46153846153846156
5,nonlinear,2,16,-0.0008158161468046488,-0.04079288742752318,0.375
5,nonlinear,3,11,-0.001972473337166462,0.0375817808074187,0.45454545454545453
5,nonlinear,4,16,8.753850634302292e-05,0.10067106766800493,0.625
10,baseline,0,7,0.0,0.0,0.2857142857142857
10,baseline,1,7,0.0,0.0,0.42857142857142855
10,baseline,2,7,0.0,0.0,0.2857142857142857
10,baseline,3,8,0.0,0.0,0.125
10,baseline,4,7,0.0,0.0,0.7142857142857143
10,baseline,5,4,0.0,0.0,0.25
10,baseline,6,6,0.0,0.0,0.5
10,baseline,7,8,0.0,0.0,0.375
10,baseline,8,4,0.0,0.0,0.25
10,baseline,9,9,0.0,0.0,0.4444444444444444
10,internal,0,7,-0.001319816288208528,-0.0033924233348210375,0.42857142857142855
10,internal,1,7,-0.0018580895599037955,-0.037867149980490455,0.42857142857142855
10,internal,2,7,6.599856384497879e-05,-0.022470292750408127,0.5714285714285714
10,internal,3,8,-0.0015222501349459287,-0.03189430825389672,0.25
10,internal,4,7,0.0004074728047463276,0.05695619879032815,0.7142857142857143
10,internal,5,4,-0.002602843626380462,-0.11428742493985344,0.0
10,internal,6,6,-0.002616311937898238,-0.07459634039697982,0.3333333333333333
10,internal,7,8,0.0007578021141685341,-0.008703806915009604,0.5
10,internal,8,4,-0.0014783445153429692,-0.027126205062710573,0.5
10,internal,9,9,-0.0007806450383345334,0.03142780022184144,0.6666666666666666
10,local,0,7,-0.0025102586576750737,-0.09588886335587288,0.14285714285714285
10,local,1,7,-0.002425511543276058,-0.11136359022830244,0.5714285714285714
10,local,2,7,-0.0007628643240185813,0.014863970696365802,0.5714285714285714
10,local,3,8,-0.0023972769850056017,-0.13047909866593976,0.125
10,local,4,7,0.0010591726637339538,0.0020602200026615947,0.7142857142857143
10,local,5,4,-0.004674264301818158,-0.20237526626660152,0.0
10,local,6,6,-0.0009630887583067897,-0.06348144412280143,0.3333333333333333
10,local,7,8,-0.00029161256954994205,-0.061467641059207434,0.375
10,local,8,4,-0.0006780055792495396,0.020716323962237215,0.75
10,local,9,9,-0.0007045486395406211,0.023678109373539757,0.6666666666666666
10,turkey,0,7,-0.0017755513675882136,-0.06264036330282119,0.2857142857142857
10,turkey,1,7,-0.00321607161404373,-0.15031714493277093,0.2857142857142857
10,turkey,2,7,-0.0006055365416541975,0.04000457271188118,0.7142857142857143
10,turkey,3,8,-0.0025958785485613416,-0.0798458274929148,0.25
10,turkey,4,7,0.0009777954246105655,0.01753182979002532,0.5714285714285714
10,turkey,5,4,-0.0011456854194697441,-0.08477547677175379,0.25
10,turkey,6,6,-0.0031040103601322998,-0.14613477667411257,0.3333333333333333
10,turkey,7,8,-0.0008917865862925443,-0.12538734607717616,0.375
10,turkey,8,4,-0.00122676680167072,0.045158939250744434,0.5
10,turkey,9,9,-0.0018446827619241456,-0.06658941984099676,0.4444444444444444
