horizon,candidate,reference,same_origin_n,candidate_mae_improvement_log,candidate_brier_improvement
5,local,internal,67,-0.00013786366442540784,0.022628010984381483
5,turkey,internal,67,9.163498133788369e-05,0.009794323221006394
5,combined,internal,67,-5.225667511578542e-05,0.02237272546634825
5,nonlinear,internal,67,-9.141757304855127e-05,0.026611573502541813
10,local,internal,67,-0.0003495648392971874,-0.039697167983807
10,turkey,internal,67,-0.0006098183673145212,-0.04868372783163667
10,combined,internal,67,-0.0007393101967147086,-0.06956511090924801
10,nonlinear,internal,67,-0.0003119136404050392,-0.045050566613525904
15,local,internal,64,0.0005881019960604843,0.006505041023442664
15,turkey,internal,64,-0.0007207692792488345,-0.0694153889396153
15,combined,internal,64,-0.0003299007458093698,-0.0421206175716042
15,nonlinear,internal,64,-0.00047369609720399557,-0.03497478896617877
30,local,internal,60,0.0010174902517340084,0.03215248590734671
30,turkey,internal,60,-0.0003101715422476541,0.005127680287549432
30,combined,internal,60,0.0006511026189960905,0.04048049816433157
30,nonlinear,internal,60,3.782385493228425e-05,0.027625662893378
45,local,internal,57,0.0012736835093630303,-0.0006021778872334719
45,turkey,internal,57,0.003612595015182704,0.10242362411589562
45,combined,internal,57,0.003945234801631657,0.044142702042208354
45,nonlinear,internal,57,0.0036805434323928755,0.09521653357476523
60,local,internal,52,0.002424865137370525,0.005141501356150725
60,turkey,internal,52,0.010663333953991707,0.179415576591833
60,combined,internal,52,0.0089545764263489,0.10524236854465173
60,nonlinear,internal,52,0.007014382067671131,0.08404667495571827
90,local,internal,45,0.01280451814611244,0.09810135477158101
90,turkey,internal,45,3.648076884625595e-06,-0.0008329377513197721
90,combined,internal,45,0.010783259362862107,0.07939239568813447
90,nonlinear,internal,45,0.005669981160377211,0.044516739938201044
